"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,0,-180,-24.0463614764029
12.5,0,-178,-24.7746119391327
12.5,0,-176,-26.090372676885
12.5,0,-174,-27.8580857888089
12.5,0,-172,-29.5714996454656
12.5,0,-170,-30.6121569128517
12.5,0,-168,-31.2556039161213
12.5,0,-166,-32.4214426587099
12.5,0,-164,-34.6009087460122
12.5,0,-162,-36.4160068181121
12.5,0,-160,-34.7205101852733
12.5,0,-158,-32.1760594554692
12.5,0,-156,-30.888315885653
12.5,0,-154,-31.0754992202506
12.5,0,-152,-32.8771408703146
12.5,0,-150,-36.4984769649581
12.5,0,-148,-38.5164797856105
12.5,0,-146,-34.5055001478293
12.5,0,-144,-31.2576785703789
12.5,0,-142,-29.6214824816231
12.5,0,-140,-29.248237245718
12.5,0,-138,-30.0018755591593
12.5,0,-136,-31.9618177608428
12.5,0,-134,-35.3818682029335
12.5,0,-132,-39.1653077985251
12.5,0,-130,-37.0042269090293
12.5,0,-128,-33.0958093816608
12.5,0,-126,-30.4755647036441
12.5,0,-124,-28.8332619504298
12.5,0,-122,-27.8378613176911
12.5,0,-120,-27.2797131889042
12.5,0,-118,-27.0157075403069
12.5,0,-116,-26.9390353426102
12.5,0,-114,-26.9671361605173
12.5,0,-112,-27.0385316325264
12.5,0,-110,-27.1123136847456
12.5,0,-108,-27.1661451441229
12.5,0,-106,-27.191389793629
12.5,0,-104,-27.1866957976704
12.5,0,-102,-27.1523298256246
12.5,0,-100,-27.0866997177219
12.5,0,-98,-26.9851635024782
12.5,0,-96,-26.840453697764
12.5,0,-94,-26.6439443895614
12.5,0,-92,-26.3872096437826
12.5,0,-90,-26.0635772981644
12.5,0,-88,-25.6695461802659
12.5,0,-86,-25.2059847644512
12.5,0,-84,-24.6790034210049
12.5,0,-82,-24.1003690826176
12.5,0,-80,-23.4873853021741
12.5,0,-78,-22.8623043118338
12.5,0,-76,-22.2515046517806
12.5,0,-74,-21.6847721252023
12.5,0,-72,-21.1950347799737
12.5,0,-70,-20.8188774622828
12.5,0,-68,-20.5982032944872
12.5,0,-66,-20.5836592246992
12.5,0,-64,-20.8411564878277
12.5,0,-62,-21.4646813124117
12.5,0,-60,-22.6038414986082
12.5,0,-58,-24.5315339815474
12.5,0,-56,-27.8378591759012
12.5,0,-54,-33.7570053554521
12.5,0,-52,-33.504388831355
12.5,0,-50,-26.655407776398
12.5,0,-48,-22.5043536732196
12.5,0,-46,-19.8681772211724
12.5,0,-44,-18.2044720436808
12.5,0,-42,-17.3158851400358
12.5,0,-40,-17.1670735606982
12.5,0,-38,-17.8492085768091
