"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,-180,-180,0.913545870080374
12.5,-180,-179,0.788987550317983
12.5,-180,-178,0.656924289404751
12.5,-180,-177,0.51726173539784
12.5,-180,-176,0.369909057840536
12.5,-180,-175,0.214779964814373
12.5,-180,-174,0.0517939912255335
12.5,-180,-173,-0.1191218852417
12.5,-180,-172,-0.298031232561668
12.5,-180,-171,-0.484985675618549
12.5,-180,-170,-0.680021832670678
12.5,-180,-169,-0.883157560769886
12.5,-180,-168,-1.09438737245236
12.5,-180,-167,-1.31367686186813
12.5,-180,-166,-1.54095595201603
12.5,-180,-165,-1.77611074681451
12.5,-180,-164,-2.01897374413327
12.5,-180,-163,-2.26931214171275
12.5,-180,-162,-2.52681395211271
12.5,-180,-161,-2.79107164322659
12.5,-180,-160,-3.06156304905765
12.5,-180,-159,-3.33762936798421
12.5,-180,-158,-3.61845020547755
12.5,-180,-157,-3.90301585499583
12.5,-180,-156,-4.19009738090784
12.5,-180,-155,-4.4782156106154
12.5,-180,-154,-4.76561089512595
12.5,-180,-153,-5.05021647451629
12.5,-180,-152,-5.32963945924286
12.5,-180,-151,-5.60115470273442
12.5,-180,-150,-5.86171796681649
12.5,-180,-149,-6.10800538735353
12.5,-180,-148,-6.33648580291784
12.5,-180,-147,-6.54353042073217
12.5,-180,-146,-6.72556010602103
12.5,-180,-145,-6.87922428923568
12.5,-180,-144,-7.00159786955902
12.5,-180,-143,-7.09037526245797
12.5,-180,-142,-7.14403625747364
12.5,-180,-141,-7.1619588384183
12.5,-180,-140,-7.14446056246143
12.5,-180,-139,-7.09276147095283
12.5,-180,-138,-7.0088748640657
12.5,-180,-137,-6.89544384304543
12.5,-180,-136,-6.75554827900569
12.5,-180,-135,-6.59250766399093
12.5,-180,-134,-6.40970103500243
12.5,-180,-133,-6.21041801517576
12.5,-180,-132,-5.99774736877283
12.5,-180,-131,-5.77450307485478
12.5,-180,-130,-5.54318361674404
12.5,-180,-129,-5.30595799095773
12.5,-180,-128,-5.06467142019547
12.5,-180,-127,-4.82086431779282
12.5,-180,-126,-4.5757991592048
12.5,-180,-125,-4.33049117904899
12.5,-180,-124,-4.08573999408586
12.5,-180,-123,-3.84216024047583
12.5,-180,-122,-3.60021007667769
12.5,-180,-121,-3.36021695617664
12.5,-180,-120,-3.12240045188789
12.5,-180,-119,-2.88689215644494
12.5,-180,-118,-2.65375282631492
12.5,-180,-117,-2.42298701301524
12.5,-180,-116,-2.19455545484059
12.5,-180,-115,-1.9683855043789
12.5,-180,-114,-1.74437985251449
12.5,-180,-113,-1.52242378652599
12.5,-180,-112,-1.30239119340046
12.5,-180,-111,-1.08414949273237
12.5,-180,-110,-0.867563658353835
12.5,-180,-109,-0.652499465054334
12.5,-180,-108,-0.438826076746468
12.5,-180,-107,-0.226418075227122
12.5,-180,-106,-0.0151570140882839
12.5,-180,-105,0.195067429930907
12.5,-180,-104,0.404356646106146
12.5,-180,-103,0.612802565906717
