"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,-180,-180,-2.09675408655944
12.5,-180,-179,-2.22431446398091
12.5,-180,-178,-2.36538439058614
12.5,-180,-177,-2.52005969858562
12.5,-180,-176,-2.68843369262867
12.5,-180,-175,-2.87059614337868
12.5,-180,-174,-3.06663201411964
12.5,-180,-173,-3.27661986397577
12.5,-180,-172,-3.50062985981929
12.5,-180,-171,-3.73872131531191
12.5,-180,-170,-3.9909396595023
12.5,-180,-169,-4.25731271874729
12.5,-180,-168,-4.53784617430007
12.5,-180,-167,-4.83251803375949
12.5,-180,-166,-5.14127192807346
12.5,-180,-165,-5.46400901785008
12.5,-180,-164,-5.80057826512091
12.5,-180,-163,-6.15076480249675
12.5,-180,-162,-6.51427611586144
12.5,-180,-161,-6.89072575713368
12.5,-180,-160,-7.2796143317712
12.5,-180,-159,-7.68030757820422
12.5,-180,-158,-8.09201149609782
12.5,-180,-157,-8.51374471707371
12.5,-180,-156,-8.94430868161664
12.5,-180,-155,-9.38225672916247
12.5,-180,-154,-9.82586396039478
12.5,-180,-153,-10.2731007079033
12.5,-180,-152,-10.7216136257949
12.5,-180,-151,-11.1687196732383
12.5,-180,-150,-11.6114193929248
12.5,-180,-149,-12.0464364911371
12.5,-180,-148,-12.470290281382
12.5,-180,-147,-12.8794054647953
12.5,-180,-146,-13.2702595321957
12.5,-180,-145,-13.6395617807287
12.5,-180,-144,-13.9844503216699
12.5,-180,-143,-14.302686224946
12.5,-180,-142,-14.5928194639101
12.5,-180,-141,-14.8543018093595
12.5,-180,-140,-15.0875282654706
12.5,-180,-139,-15.2938000159446
12.5,-180,-138,-15.4752152070039
12.5,-180,-137,-15.6345054645281
12.5,-180,-136,-15.7748427965157
12.5,-180,-135,-15.8996423273394
12.5,-180,-134,-16.0123820434596
12.5,-180,-133,-16.1164535816338
12.5,-180,-132,-16.2150504406069
12.5,-180,-131,-16.311093602473
12.5,-180,-130,-16.4071902385622
12.5,-180,-129,-16.5056189770369
12.5,-180,-128,-16.6083346852335
12.5,-180,-127,-16.7169862766276
12.5,-180,-126,-16.832942153362
12.5,-180,-125,-16.9573191498629
12.5,-180,-124,-17.0910120150401
12.5,-180,-123,-17.2347214469396
12.5,-180,-122,-17.3889794432025
12.5,-180,-121,-17.5541712677925
12.5,-180,-120,-17.7305536940319
12.5,-180,-119,-17.9182694057639
12.5,-180,-118,-18.1173575591099
12.5,-180,-117,-18.3277605572507
12.5,-180,-116,-18.5493270937031
12.5,-180,-115,-18.7818114937102
12.5,-180,-114,-19.0248693423439
12.5,-180,-113,-19.2780493427229
12.5,-180,-112,-19.5407813082232
12.5,-180,-111,-19.8123601688123
12.5,-180,-110,-20.0919258754877
12.5,-180,-109,-20.3784391330594
12.5,-180,-108,-20.6706529991538
12.5,-180,-107,-20.9670805802789
12.5,-180,-106,-21.2659593629772
12.5,-180,-105,-21.5652131719366
12.5,-180,-104,-21.8624133792836
12.5,-180,-103,-22.1547418233474
12.5,-180,-102,-22.4389589316916
12.5,-180,-101,-22.7113817397396
12.5,-180,-100,-22.9678777402822
12.5,-180,-99,-23.2038815785913
12.5,-180,-98,-23.4144421908753
12.5,-180,-97,-23.5943076252076
12.5,-180,-96,-23.7380529847517
12.5,-180,-95,-23.8402532751326
12.5,-180,-94,-23.8956972967948
12.5,-180,-93,-23.8996315134786
12.5,-180,-92,-23.8480151735335
12.5,-180,-91,-23.7377616434645
12.5,-180,-90,-23.5669379824776
12.5,-180,-89,-23.3348968618057
12.5,-180,-88,-23.0423224381968
12.5,-180,-87,-22.6911835212175
12.5,-180,-86,-22.2846007009505
12.5,-180,-85,-21.826645833219
12.5,-180,-84,-21.3220997856403
12.5,-180,-83,-20.77619642367
12.5,-180,-82,-20.1943778862891
12.5,-180,-81,-19.5820798850534
12.5,-180,-80,-18.9445581074749
12.5,-180,-79,-18.2867595979312
12.5,-180,-78,-17.6132373505132
12.5,-180,-77,-16.9281026927854
12.5,-180,-76,-16.2350082430143
12.5,-180,-75,-15.5371538681159
12.5,-180,-74,-14.8373086563816
12.5,-180,-73,-14.1378430028891
12.5,-180,-72,-13.4407661546191
12.5,-180,-71,-12.747765764934
12.5,-180,-70,-12.0602470508301
12.5,-180,-69,-11.3793699891096
12.5,-180,-68,-10.706083630345
12.5,-180,-67,-10.0411570757402
12.5,-180,-66,-9.38520698390537
12.5,-180,-65,-8.73872168485153
12.5,-180,-64,-8.10208210627455
12.5,-180,-63,-7.47557978635587
12.5,-180,-62,-6.85943227648985
12.5,-180,-61,-6.25379624045502
12.5,-180,-60,-5.65877854359907
12.5,-180,-59,-5.07444560359372
12.5,-180,-58,-4.5008312479534
12.5,-180,-57,-3.9379432958659
12.5,-180,-56,-3.38576905485721
12.5,-180,-55,-2.84427989750463
12.5,-180,-54,-2.31343506038492
12.5,-180,-53,-1.79318478691399
12.5,-180,-52,-1.2834729176979
12.5,-180,-51,-0.784239016345259
12.5,-180,-50,-0.295420105190598
12.5,-180,-49,0.183047926178337
12.5,-180,-48,0.65122918653907
12.5,-180,-47,1.10918687810077
12.5,-180,-46,1.55698258338624
12.5,-180,-45,1.99467571226161
12.5,-180,-44,2.42232308247255
12.5,-180,-43,2.83997861127616
12.5,-180,-42,3.24769309931643
12.5,-180,-41,3.6455140908818
12.5,-180,-40,4.0334857971975
12.5,-180,-39,4.41164907151714
12.5,-180,-38,4.78004142655416
12.5,-180,-37,5.13869708628604
12.5,-180,-36,5.48764706542019
12.5,-180,-35,5.82691927086684
12.5,-180,-34,6.15653862045462
12.5,-180,-33,6.47652717487455
12.5,-180,-32,6.78690427947064
12.5,-180,-31,7.08768671303011
12.5,-180,-30,7.37888884117695
12.5,-180,-29,7.66052277235495
12.5,-180,-28,7.93259851470919
12.5,-180,-27,8.19512413244908
12.5,-180,-26,8.4481059005083
12.5,-180,-25,8.69154845651405
12.5,-180,-24,8.92545494924544
12.5,-180,-23,9.14982718290326
12.5,-180,-22,9.36466575663423
12.5,-180,-21,9.56997019885556
12.5,-180,-20,9.76573909601319
12.5,-180,-19,9.95197021548149
12.5,-180,-18,10.1286606223753
12.5,-180,-17,10.2958067900986
12.5,-180,-16,10.4534047045008
12.5,-180,-15,10.6014499615486
12.5,-180,-14,10.7399378584552
12.5,-180,-13,10.868863478238
12.5,-180,-12,10.9882217676949
12.5,-180,-11,11.0980076088156
12.5,-180,-10,11.1982158836555
12.5,-180,-9,11.2888415327172
12.5,-180,-8,11.3698796068966
