"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,-180,-180,-13.2512350074862
12.5,-180,-178,-13.5090806862681
12.5,-180,-176,-13.7992663494792
12.5,-180,-174,-14.1229075533946
12.5,-180,-172,-14.4811326008457
12.5,-180,-170,-14.8750570264064
12.5,-180,-168,-15.3057366255446
12.5,-180,-166,-15.7740867357837
12.5,-180,-164,-16.2807487301726
12.5,-180,-162,-16.8258745601356
12.5,-180,-160,-17.4087855880874
12.5,-180,-158,-18.0274425237215
12.5,-180,-156,-18.677641806721
12.5,-180,-154,-19.3518422055581
12.5,-180,-152,-20.0375574853195
12.5,-180,-150,-20.7154019368263
12.5,-180,-148,-21.357269556053
12.5,-180,-146,-21.9258549546599
12.5,-180,-144,-22.3775180252476
12.5,-180,-142,-22.6702387414437
12.5,-180,-140,-22.7755553374436
12.5,-180,-138,-22.688752317748
12.5,-180,-136,-22.4303761245868
12.5,-180,-134,-22.0379312029682
12.5,-180,-132,-21.5536862159934
12.5,-180,-130,-21.0152883782963
12.5,-180,-128,-20.4515777256036
12.5,-180,-126,-19.8823561216919
12.5,-180,-124,-19.3200023541545
12.5,-180,-122,-18.7714781698588
12.5,-180,-120,-18.240071598616
12.5,-180,-118,-17.7267094932652
12.5,-180,-116,-17.2308765932575
12.5,-180,-114,-16.7512340161788
12.5,-180,-112,-16.2860259321274
12.5,-180,-110,-15.833342649692
12.5,-180,-108,-15.3912879184228
12.5,-180,-106,-14.9580824635664
12.5,-180,-104,-14.5321247754927
12.5,-180,-102,-14.112022932532
12.5,-180,-100,-13.6966066128119
12.5,-180,-98,-13.284925547845
12.5,-180,-96,-12.8762388470585
12.5,-180,-94,-12.4699984493631
12.5,-180,-92,-12.0658291621858
12.5,-180,-90,-11.6635071657621
12.5,-180,-88,-11.2629383990319
12.5,-180,-86,-10.8641378574247
12.5,-180,-84,-10.467210503167
12.5,-180,-82,-10.0723342101733
12.5,-180,-80,-9.67974493779399
12.5,-180,-78,-9.28972415059559
12.5,-180,-76,-8.90258837283364
12.5,-180,-74,-8.51868068173687
12.5,-180,-72,-8.13836389660021
12.5,-180,-70,-7.76201520334023
12.5,-180,-68,-7.39002195883025
12.5,-180,-66,-7.02277843879879
12.5,-180,-64,-6.66068332119974
12.5,-180,-62,-6.30413772886073
12.5,-180,-60,-5.95354368729835
12.5,-180,-58,-5.60930288344279
12.5,-180,-56,-5.27181563722423
12.5,-180,-54,-4.941480019905
12.5,-180,-52,-4.6186910706332
12.5,-180,-50,-4.30384007626892
12.5,-180,-48,-3.99731388964115
12.5,-180,-46,-3.6994942686863
12.5,-180,-44,-3.41075722406148
12.5,-180,-42,-3.13147236642987
12.5,-180,-40,-2.86200224720583
12.5,-180,-38,-2.6027016885362
12.5,-180,-36,-2.35391709998386
12.5,-180,-34,-2.11598578096183
12.5,-180,-32,-1.88923520954484
12.5,-180,-30,-1.67398231988532
12.5,-180,-28,-1.47053277205528
12.5,-180,-26,-1.27918021966074
12.5,-180,-24,-1.10020558194759
12.5,-180,-22,-0.933876328249292
12.5,-180,-20,-0.78044578343523
12.5,-180,-18,-0.640152463432455
12.5,-180,-16,-0.513219449861258
12.5,-180,-14,-0.399853812312116
12.5,-180,-12,-0.300246085786597
12.5,-180,-10,-0.214569809337059
12.5,-180,-8,-0.142981130002012
12.5,-180,-6,-0.0856184738016285
12.5,-180,-4,-0.042602282911544
12.5,-180,-2,-0.0140348152776575
12.5,-180,0,0
12.5,-180,2,-0.000563338950770431
12.5,-180,4,-0.0157718424697865
12.5,-180,6,-0.0456539847789911
12.5,-180,8,-0.0902196631561927
12.5,-180,10,-0.149460144075279
12.5,-180,12,-0.223347979597502
12.5,-180,14,-0.311836878387222
12.5,-180,16,-0.414861517870285
12.5,-180,18,-0.532337287229514
12.5,-180,20,-0.664159955034523
12.5,-180,22,-0.810205260143347
12.5,-180,24,-0.970328429814425
12.5,-180,26,-1.14436363437553
12.5,-180,28,-1.33212339288973
12.5,-180,30,-1.53339794857144
12.5,-180,32,-1.7479546357511
12.5,-180,34,-1.97553726149169
12.5,-180,36,-2.21586552409444
12.5,-180,38,-2.46863448734971
12.5,-180,40,-2.73351412325871
12.5,-180,42,-3.01014892698844
12.5,-180,44,-3.29815759610444
12.5,-180,46,-3.59713275191708
12.5,-180,48,-3.9066406645203
12.5,-180,50,-4.22622092541206
12.5,-180,52,-4.55538599323033
12.5,-180,54,-4.89362052000045
12.5,-180,56,-5.24038034833576
12.5,-180,58,-5.59509105527914
12.5,-180,60,-5.95714590695884
12.5,-180,62,-6.32590308102735
12.5,-180,64,-6.70068201209148
12.5,-180,66,-7.08075872031409
12.5,-180,68,-7.46535999665797
12.5,-180,70,-7.8536563419461
12.5,-180,72,-8.24475359389493
12.5,-180,74,-8.63768323047011
12.5,-180,76,-9.03139141458551
12.5,-180,78,-9.42472695106396
12.5,-180,80,-9.8164284700001
12.5,-180,82,-10.2051113399933
12.5,-180,84,-10.5892550581059
12.5,-180,86,-10.9671921651873
12.5,-180,88,-11.3371000916581
12.5,-180,90,-11.6969977318467
12.5,-180,92,-12.0447489341184
12.5,-180,94,-12.3780754087103
12.5,-180,96,-12.694581689552
12.5,-180,98,-12.9917946025746
12.5,-180,100,-13.2672190392521
12.5,-180,102,-13.5184105831422
12.5,-180,104,-13.7430636459733
12.5,-180,106,-13.9391113490679
12.5,-180,108,-14.1048307529716
12.5,-180,110,-14.2389447152514
12.5,-180,112,-14.3407102803163
12.5,-180,114,-14.4099836457787
12.5,-180,116,-14.4472536871707
12.5,-180,118,-14.4536395766722
12.5,-180,120,-14.4308525440926
12.5,-180,122,-14.38112633725
12.5,-180,124,-14.307124482608
12.5,-180,126,-14.2118343701844
12.5,-180,128,-14.0984583122174
12.5,-180,130,-13.9703103352413
12.5,-180,132,-13.8307251315599
12.5,-180,134,-13.6829829557342
12.5,-180,136,-13.5302518264032
12.5,-180,138,-13.3755465001079
12.5,-180,140,-13.2217024317619
12.5,-180,142,-13.0713622823768
12.5,-180,144,-12.926972351007
12.5,-180,146,-12.7907864425258
12.5,-180,148,-12.6648749977562
12.5,-180,150,-12.5511377016458
12.5,-180,152,-12.4513181777544
12.5,-180,154,-12.3670197327188
12.5,-180,156,-12.2997214142323
12.5,-180,158,-12.2507938864769
12.5,-180,160,-12.2215148119903
12.5,-180,162,-12.2130835662549
12.5,-180,164,-12.2266352091402
12.5,-180,166,-12.2632537028921
12.5,-180,168,-12.3239844048384
12.5,-180,170,-12.4098458770123
12.5,-180,172,-12.5218410441468
12.5,-180,174,-12.6609676920548
12.5,-180,176,-12.8282282217244
12.5,-180,178,-13.0246384456333
12.5,-180,180,-13.2512350074862
12.5,0,-180,-13.2512350074862
12.5,0,-178,-13.0246384456333
12.5,0,-176,-12.8282282217244
12.5,0,-174,-12.6609676920548
12.5,0,-172,-12.5218410441468
12.5,0,-170,-12.4098458770123
12.5,0,-168,-12.3239844048384
12.5,0,-166,-12.2632537028921
12.5,0,-164,-12.2266352091402
12.5,0,-162,-12.2130835662549
12.5,0,-160,-12.2215148119903
12.5,0,-158,-12.2507938864769
12.5,0,-156,-12.2997214142323
12.5,0,-154,-12.3670197327188
12.5,0,-152,-12.4513181777544
12.5,0,-150,-12.5511377016458
12.5,0,-148,-12.6648749977562
12.5,0,-146,-12.7907864425258
12.5,0,-144,-12.926972351007
12.5,0,-142,-13.0713622823768
12.5,0,-140,-13.2217024317619
12.5,0,-138,-13.3755465001079
12.5,0,-136,-13.5302518264032
12.5,0,-134,-13.6829829557342
12.5,0,-132,-13.8307251315599
12.5,0,-130,-13.9703103352413
12.5,0,-128,-14.0984583122174
12.5,0,-126,-14.2118343701844
12.5,0,-124,-14.307124482608
12.5,0,-122,-14.38112633725
12.5,0,-120,-14.4308525440926
12.5,0,-118,-14.4536395766722
12.5,0,-116,-14.4472536871707
12.5,0,-114,-14.4099836457787
12.5,0,-112,-14.3407102803163
12.5,0,-110,-14.2389447152514
12.5,0,-108,-14.1048307529716
12.5,0,-106,-13.9391113490679
12.5,0,-104,-13.7430636459733
12.5,0,-102,-13.5184105831422
12.5,0,-100,-13.2672190392521
12.5,0,-98,-12.9917946025746
12.5,0,-96,-12.694581689552
12.5,0,-94,-12.3780754087103
12.5,0,-92,-12.0447489341184
12.5,0,-90,-11.6969977318467
12.5,0,-88,-11.3371000916581
12.5,0,-86,-10.9671921651873
12.5,0,-84,-10.5892550581059
12.5,0,-82,-10.2051113399933
12.5,0,-80,-9.8164284700001
12.5,0,-78,-9.42472695106395
12.5,0,-76,-9.03139141458551
12.5,0,-74,-8.63768323047011
12.5,0,-72,-8.24475359389493
12.5,0,-70,-7.8536563419461
12.5,0,-68,-7.46535999665796
12.5,0,-66,-7.08075872031409
12.5,0,-64,-6.70068201209148
12.5,0,-62,-6.32590308102736
12.5,0,-60,-5.95714590695884
12.5,0,-58,-5.59509105527914
12.5,0,-56,-5.24038034833576
12.5,0,-54,-4.89362052000045
12.5,0,-52,-4.55538599323034
12.5,0,-50,-4.22622092541206
12.5,0,-48,-3.9066406645203
12.5,0,-46,-3.59713275191708
12.5,0,-44,-3.29815759610444
12.5,0,-42,-3.01014892698844
12.5,0,-40,-2.73351412325871
12.5,0,-38,-2.4686344873497
12.5,0,-36,-2.21586552409444
12.5,0,-34,-1.97553726149169
12.5,0,-32,-1.7479546357511
12.5,0,-30,-1.53339794857144
12.5,0,-28,-1.33212339288973
12.5,0,-26,-1.14436363437553
12.5,0,-24,-0.970328429814424
12.5,0,-22,-0.810205260143347
12.5,0,-20,-0.664159955034523
12.5,0,-18,-0.532337287229515
12.5,0,-16,-0.414861517870284
12.5,0,-14,-0.311836878387222
12.5,0,-12,-0.223347979597502
12.5,0,-10,-0.149460144075279
12.5,0,-8,-0.0902196631561917
12.5,0,-6,-0.0456539847789906
12.5,0,-4,-0.015771842469786
12.5,0,-2,-0.000563338950768984
12.5,0,0,0
12.5,0,2,-0.0140348152776595
12.5,0,4,-0.042602282911544
12.5,0,6,-0.085618473801629
12.5,0,8,-0.142981130002011
12.5,0,10,-0.21456980933706
12.5,0,12,-0.300246085786598
12.5,0,14,-0.399853812312115
12.5,0,16,-0.513219449861258
12.5,0,18,-0.640152463432455
12.5,0,20,-0.780445783435231
12.5,0,22,-0.933876328249292
12.5,0,24,-1.10020558194759
12.5,0,26,-1.27918021966074
12.5,0,28,-1.47053277205528
12.5,0,30,-1.67398231988532
12.5,0,32,-1.88923520954484
12.5,0,34,-2.11598578096182
12.5,0,36,-2.35391709998385
12.5,0,38,-2.6027016885362
12.5,0,40,-2.86200224720583
12.5,0,42,-3.13147236642988
12.5,0,44,-3.41075722406148
12.5,0,46,-3.6994942686863
12.5,0,48,-3.99731388964115
12.5,0,50,-4.30384007626892
12.5,0,52,-4.61869107063319
12.5,0,54,-4.941480019905
12.5,0,56,-5.27181563722423
12.5,0,58,-5.60930288344279
12.5,0,60,-5.95354368729835
12.5,0,62,-6.30413772886073
12.5,0,64,-6.66068332119974
12.5,0,66,-7.02277843879879
12.5,0,68,-7.39002195883025
12.5,0,70,-7.76201520334023
12.5,0,72,-8.13836389660021
12.5,0,74,-8.51868068173688
12.5,0,76,-8.90258837283364
12.5,0,78,-9.28972415059559
12.5,0,80,-9.67974493779398
12.5,0,82,-10.0723342101734
12.5,0,84,-10.467210503167
12.5,0,86,-10.8641378574247
