Theta [deg],dB(GainTotal) []
-180,-7.615345238
-178,-7.873190917
-176,-8.16337658
-174,-8.487017784
-172,-8.845242832
-170,-9.239167257
-168,-9.669846856
-166,-10.13819697
-164,-10.64485896
-162,-11.18998479
-160,-11.77289582
-158,-12.39155275
-156,-13.04175204
-154,-13.71595244
-152,-14.40166772
-150,-15.07951217
-148,-15.72137979
-146,-16.28996519
-144,-16.74162826
-142,-17.03434897
-140,-17.13966557
-138,-17.05286255
-136,-16.79448636
-134,-16.40204143
-132,-15.91779645
-130,-15.37939861
-128,-14.81568796
-126,-14.24646635
-124,-13.68411258
-122,-13.1355884
-120,-12.60418183
-118,-12.09081972
-116,-11.59498682
-114,-11.11534425
-112,-10.65013616
-110,-10.19745288
-108,-9.755398149
-106,-9.322192694
-104,-8.896235006
-102,-8.476133163
-100,-8.060716844
-98,-7.649035779
-96,-7.240349078
-94,-6.83410868
-92,-6.429939393
-90,-6.027617397
-88,-5.62704863
-86,-5.228248088
-84,-4.831320734
-82,-4.436444441
-80,-4.043855169
-78,-3.653834381
-76,-3.266698604
-74,-2.882790913
-72,-2.502474127
-70,-2.126125434
-68,-1.75413219
-66,-1.38688867
-64,-1.024793552
-62,-0.66824796
-60,-0.317653918
-58,0.026586886
-56,0.364074132
-54,0.694409749
-52,1.017198699
-50,1.332049693
-48,1.63857588
-46,1.9363955
-44,2.225132545
-42,2.504417403
-40,2.773887522
-38,3.033188081
-36,3.281972669
-34,3.519903988
-32,3.74665456
-30,3.961907449
-28,4.165356997
-26,4.35670955
-24,4.535684187
-22,4.702013441
-20,4.855443986
-18,4.995737306
-16,5.122670319
-14,5.236035957
-12,5.335643683
-10,5.42131996
-8,5.492908639
-6,5.550271295
-4,5.593287486
-2,5.621854954
0,5.635889769
2,5.63532643
4,5.620117927
6,5.590235784
8,5.545670106
10,5.486429625
12,5.41254179
14,5.324052891
16,5.221028251
18,5.103552482
20,4.971729814
22,4.825684509
24,4.665561339
26,4.491526135
28,4.303766376
30,4.102491821
32,3.887935133
34,3.660352508
36,3.420024245
38,3.167255282
40,2.902375646
42,2.625740842
44,2.337732173
46,2.038757017
48,1.729249105
50,1.409668844
52,1.080503776
54,0.742269249
56,0.395509421
58,0.040798714
60,-0.321256138
62,-0.690013312
64,-1.064792243
66,-1.444868951
68,-1.829470227
70,-2.217766573
72,-2.608863825
74,-3.001793461
76,-3.395501645
78,-3.788837182
80,-4.180538701
82,-4.569221571
84,-4.953365289
86,-5.331302396
88,-5.701210322
90,-6.061107963
92,-6.408859165
94,-6.74218564
96,-7.05869192
98,-7.355904833
100,-7.63132927
102,-7.882520814
104,-8.107173877
106,-8.30322158
108,-8.468940984
110,-8.603054946
112,-8.704820511
114,-8.774093877
116,-8.811363918
118,-8.817749807
120,-8.794962775
122,-8.745236568
124,-8.671234713
126,-8.575944601
128,-8.462568543
130,-8.334420566
132,-8.194835362
134,-8.047093187
136,-7.894362057
138,-7.739656731
140,-7.585812663
142,-7.435472513
144,-7.291082582
146,-7.154896673
148,-7.028985229
150,-6.915247932
152,-6.815428409
154,-6.731129964
156,-6.663831645
158,-6.614904117
160,-6.585625043
162,-6.577193797
164,-6.59074544
166,-6.627363934
168,-6.688094636
170,-6.773956108
172,-6.885951275
174,-7.025077923
176,-7.192338453
178,-7.388748676
180,-7.615345238
