Theta [deg],dB(GainPhi) []
0,-10.59316916
1,-10.59676395
2,-10.60038261
3,-10.60402956
4,-10.60769249
5,-10.61134232
6,-10.61493334
7,-10.61840354
8,-10.6216751
9,-10.62465507
10,-10.62723624
11,-10.62929818
12,-10.63070844
13,-10.631324
14,-10.63099275
15,-10.62955525
16,-10.62684654
17,-10.6226981
18,-10.61693991
19,-10.60940253
20,-10.59991922
21,-10.58832808
22,-10.57447411
23,-10.55821118
24,-10.53940389
25,-10.51792927
26,-10.49367819
27,-10.46655667
28,-10.43648678
29,-10.40340736
30,-10.36727441
31,-10.32806109
32,-10.28575757
33,-10.24037048
34,-10.19192209
35,-10.14044931
36,-10.08600243
37,-10.02864368
38,-9.96844571
39,-9.905489879
40,-9.839864585
41,-9.771663523
42,-9.700983978
43,-9.627925177
44,-9.552586715
45,-9.475067094
46,-9.395462383
47,-9.313865026
48,-9.230362791
49,-9.145037882
50,-9.057966209
51,-8.96921681
52,-8.878851431
53,-8.786924246
54,-8.693481722
55,-8.598562601
56,-8.502198013
57,-8.404411678
58,-8.305220217
59,-8.204633538
60,-8.102655293
61,-7.9992834
62,-7.894510609
63,-7.78832511
64,-7.680711172
65,-7.571649797
66,-7.461119396
67,-7.349096457
68,-7.235556219
69,-7.120473332
70,-7.0038225
71,-6.885579103
72,-6.765719792
73,-6.644223051
74,-6.521069723
75,-6.396243495
76,-6.269731346
77,-6.141523939
78,-6.011615976
79,-5.880006501
80,-5.746699153
81,-5.611702367
82,-5.475029535
83,-5.336699106
84,-5.196734652
85,-5.055164876
86,-4.912023588
87,-4.767349636
88,-4.621186795
89,-4.47358363
90,-4.324593324
91,-4.174273472
92,-4.022685865
93,-3.869896239
94,-3.715974019
95,-3.560992038
96,-3.405026257
97,-3.248155473
98,-3.090461022
99,-2.932026486
100,-2.772937396
101,-2.613280945
102,-2.453145704
103,-2.292621347
104,-2.131798387
105,-1.97076792
106,-1.809621385
107,-1.648450337
108,-1.487346227
109,-1.326400209
110,-1.165702946
111,-1.005344443
112,-0.845413888
113,-0.68599951
114,-0.527188447
115,-0.369066632
116,-0.211718688
117,-0.055227839
118,0.100324171
119,0.254857144
120,0.408292488
121,0.560553264
122,0.711564222
123,0.861251838
124,1.009544329
125,1.156371673
126,1.301665616
127,1.445359678
128,1.587389145
129,1.727691068
130,1.866204247
131,2.002869218
132,2.137628233
133,2.270425241
134,2.401205861
135,2.529917356
136,2.656508609
137,2.780930089
138,2.903133821
139,3.023073358
140,3.140703746
141,3.255981493
142,3.368864534
143,3.479312205
144,3.587285202
145,3.692745556
146,3.795656601
147,3.895982941
148,3.993690421
149,4.088746102
150,4.181118232
151,4.270776215
152,4.357690594
153,4.441833024
154,4.523176248
155,4.601694077
156,4.677361375
157,4.750154036
158,4.820048971
159,4.88702409
160,4.951058293
161,5.012131457
162,5.070224423
163,5.125318991
164,5.17739791
165,5.226444873
166,5.272444514
167,5.3153824
168,5.355245033
169,5.392019847
170,5.425695207
171,5.456260411
172,5.483705693
173,5.508022221
174,5.529202103
175,5.547238394
176,5.562125092
177,5.573857152
178,5.582430484
179,5.587841965
180,5.590089439
181,5.589171727
182,5.585088632
183,5.577840948
184,5.567430461
185,5.553859962
186,5.537133251
187,5.517255143
188,5.494231476
189,5.468069117
190,5.438775971
191,5.406360984
192,5.370834155
193,5.332206537
194,5.290490249
195,5.245698479
196,5.197845497
197,5.146946656
198,5.093018402
199,5.036078285
200,4.976144963
201,4.913238213
202,4.847378942
203,4.778589191
204,4.706892154
205,4.632312179
206,4.554874791
207,4.474606694
208,4.391535793
209,4.305691204
210,4.217103268
211,4.125803574
212,4.031824969
213,3.935201582
214,3.835968838
215,3.734163486
216,3.629823614
217,3.522988674
218,3.413699505
219,3.30199836
220,3.187928928
221,3.071536359
222,2.952867295
223,2.831969891
224,2.708893844
225,2.583690421
226,2.456412484
227,2.327114514
228,2.195852636
229,2.062684646
230,1.927670027
231,1.79086997
232,1.652347394
233,1.512166956
234,1.370395061
235,1.22709987
236,1.082351301
237,0.936221021
238,0.78878244
239,0.640110694
240,0.490282616
241,0.339376709
242,0.187473101
243,0.034653497
244,-0.118998883
245,-0.273399375
246,-0.428461957
247,-0.584099339
248,-0.740223075
249,-0.896743683
250,-1.053570781
251,-1.210613232
252,-1.367779311
253,-1.524976879
254,-1.68211358
255,-1.839097037
256,-1.995835083
257,-2.152235985
258,-2.308208691
259,-2.463663091
260,-2.618510278
261,-2.77266283
262,-2.926035088
263,-3.078543451
264,-3.230106666
265,-3.380646122
266,-3.530086145
267,-3.678354286
268,-3.825381606
269,-3.971102951
270,-4.115457209
271,-4.25838756
272,-4.399841704
273,-4.539772065
274,-4.678135975
275,-4.814895828
276,-4.950019201
277,-5.083478954
278,-5.215253277
279,-5.345325717
280,-5.473685156
281,-5.600325755
282,-5.72524685
283,-5.848452813
284,-5.969952869
285,-6.089760867
286,-6.207895016
