"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
11.5,0,-180,-6.01737874487999
11.5,0,-179,-6.07864543376475
11.5,0,-178,-6.14590223212295
11.5,0,-177,-6.21921135678812
11.5,0,-176,-6.29863557463284
11.5,0,-175,-6.3842383918924
11.5,0,-174,-6.47608424483006
11.5,0,-173,-6.57423869255687
11.5,0,-172,-6.6787686128285
11.5,0,-171,-6.78974240164513
11.5,0,-170,-6.90723017747919
11.5,0,-169,-7.03130399094181
11.5,0,-168,-7.16203804067111
11.5,0,-167,-7.29950889617545
11.5,0,-166,-7.44379572828496
11.5,0,-165,-7.59498054774439
11.5,0,-164,-7.753148452305
11.5,0,-163,-7.91838788242419
11.5,0,-162,-8.0907908853353
11.5,0,-161,-8.27045338677376
11.5,0,-160,-8.45747546899869
11.5,0,-159,-8.65196165287702
11.5,0,-158,-8.8540211806289
11.5,0,-157,-9.06376829427622
11.5,0,-156,-9.28132250276908
11.5,0,-155,-9.50680882802822
11.5,0,-154,-9.74035801652697
11.5,0,-153,-9.98210669826778
11.5,0,-152,-10.232197468727
11.5,0,-151,-10.4907788610698
11.5,0,-150,-10.7580051650521
11.5,0,-149,-11.0340360346995
11.5,0,-148,-11.3190358080044
11.5,0,-147,-11.6131724370831
11.5,0,-146,-11.9166158946088
11.5,0,-145,-12.2295358794436
11.5,0,-144,-12.5520985880513
11.5,0,-143,-12.8844622443841
11.5,0,-142,-13.2267709843058
11.5,0,-141,-13.5791465647652
11.5,0,-140,-13.9416772050552
11.5,0,-139,-14.3144026586745
11.5,0,-138,-14.6972943502752
11.5,0,-137,-15.0902290852537
11.5,0,-136,-15.4929544475997
11.5,0,-135,-15.9050435557778
11.5,0,-134,-16.3258363849907
11.5,0,-133,-16.7543644765
11.5,0,-132,-17.1892557196726
11.5,0,-131,-17.6286163357182
11.5,0,-130,-18.0698887603001
11.5,0,-129,-18.509687654671
11.5,0,-128,-18.943622911471
11.5,0,-127,-19.3661295049077
11.5,0,-126,-19.7703400601193
11.5,0,-125,-20.148055814847
11.5,0,-124,-20.4898897510293
11.5,0,-123,-20.7856602861462
11.5,0,-122,-21.0250877266282
11.5,0,-121,-21.1987740495554
11.5,0,-120,-21.2993344797523
11.5,0,-119,-21.3224373807956
11.5,0,-118,-21.2674660095352
11.5,0,-117,-21.137594359633
11.5,0,-116,-20.9392524719993
11.5,0,-115,-20.6811528243259
11.5,0,-114,-20.3731574378623
11.5,0,-113,-20.0252481077305
11.5,0,-112,-19.646759878993
11.5,0,-111,-19.2459207463283
11.5,0,-110,-18.8296578222288
11.5,0,-109,-18.4035942701179
11.5,0,-108,-17.97216033815
11.5,0,-107,-17.5387580851878
11.5,0,-106,-17.1059394967283
11.5,0,-105,-16.6755748351313
11.5,0,-104,-16.2490002233441
