Theta [deg],dB(GainTheta) [] - Freq='12.5GHz' Phi='0deg',dB10normalize(GainTheta) [] - Freq='12.5GHz' Phi='0deg'
-180,-7.945009128,-13.56063951
-179,-7.84948375,-13.46511413
-178,-7.760493722,-13.37612411
-177,-7.677957537,-13.29358792
-176,-7.601792551,-13.21742294
-175,-7.5319149,-13.14754528
-174,-7.468239376,-13.08386976
-173,-7.410679272,-13.02630966
-172,-7.359146184,-12.97477657
-171,-7.313549797,-12.92918018
-170,-7.273797636,-12.88942802
-169,-7.239794806,-12.85542519
-168,-7.211443702,-12.82707409
-167,-7.188643705,-12.80427409
-166,-7.17129087,-12.78692125
-165,-7.159277585,-12.77490797
-164,-7.15249223,-12.76812261
-163,-7.150818813,-12.7664492
-162,-7.154136606,-12.76976699
-161,-7.16231976,-12.77795014
-160,-7.175236921,-12.7908673
-159,-7.19275083,-12.80838121
-158,-7.214717924,-12.83034831
-157,-7.240987929,-12.85661831
-156,-7.271403453,-12.88703384
-155,-7.305799574,-12.92142996
-154,-7.344003436,-12.95963382
-153,-7.385833848,-13.00146423
-152,-7.431100893,-13.04673128
-151,-7.479605548,-13.09523593
-150,-7.531139322,-13.14676971
-149,-7.58548392,-13.2011143
-148,-7.642410935,-13.25804132
-147,-7.701681573,-13.31731196
-146,-7.763046423,-13.37867681
-145,-7.826245285,-13.44187567
-144,-7.89100705,-13.50663743
-143,-7.957049661,-13.57268004
-142,-8.024080148,-13.63971053
-141,-8.091794764,-13.70742515
-140,-8.159879227,-13.77550961
-139,-8.228009076,-13.84363946
-138,-8.295850165,-13.91148055
-137,-8.3630593,-13.97868968
-136,-8.429285023,-14.04491541
-135,-8.494168576,-14.10979896
-134,-8.557345031,-14.17297542
-133,-8.618444602,-14.23407499
-132,-8.677094144,-14.29272453
-131,-8.732918837,-14.34854922
-130,-8.785544047,-14.40117443
-129,-8.834597364,-14.45022775
-128,-8.879710789,-14.49534117
-127,-8.920523061,-14.53615344
-126,-8.95668209,-14.57231247
-125,-8.987847472,-14.60347786
-124,-9.01369303,-14.62932341
-123,-9.033909364,-14.64953975
-122,-9.048206342,-14.66383673
-121,-9.056315484,-14.67194587
-120,-9.057992205,-14.67362259
-119,-9.053017847,-14.66864823
-118,-9.041201466,-14.65683185
-117,-9.022381323,-14.63801171
-116,-8.996426053,-14.61205644
-115,-8.963235471,-14.57886585
-114,-8.922741005,-14.53837139
-113,-8.874905751,-14.49053613
-112,-8.819724136,-14.43535452
-111,-8.757221222,-14.37285161
-110,-8.687451658,-14.30308204
-109,-8.610498316,-14.2261287
-108,-8.526470652,-14.14210104
-107,-8.43550283,-14.05113321
-106,-8.337751664,-13.95338205
-105,-8.233394418,-13.8490248
-104,-8.122626522,-13.73825691
-103,-8.00565924,-13.62128962
-102,-7.882717348,-13.49834773
-101,-7.754036852,-13.36966724
-100,-7.619862776,-13.23549316
-99,-7.480447067,-13.09607745
-98,-7.336046614,-12.951677
-97,-7.186921426,-12.80255181
-96,-7.033332959,-12.64896334
-95,-6.875542606,-12.49117299
-94,-6.713810355,-12.32944074
-93,-6.548393614,-12.164024
-92,-6.379546191,-11.99517657
-91,-6.207517429,-11.82314781
-90,-6.032551482,-11.64818187
-89,-5.854886729,-11.47051711
-88,-5.674755303,-11.29038569
-87,-5.492382737,-11.10801312
-86,-5.307987704,-10.92361809
-85,-5.121781845,-10.73741223
-84,-4.933969677,-10.54960006
-83,-4.744748565,-10.36037895
-82,-4.554308747,-10.16993913
-81,-4.362833415,-9.978463799
-80,-4.170498829,-9.786129213
-79,-3.977474466,-9.59310485
-78,-3.783923198,-9.399553582
-77,-3.590001489,-9.205631873
-76,-3.395859605,-9.011489988
-75,-3.201641841,-8.817272225
-74,-3.007486757,-8.623117141
-73,-2.813527409,-8.429157793
-72,-2.619891595,-8.235521979
-71,-2.426702092,-8.042332476
-70,-2.234076898,-7.849707282
-69,-2.042129463,-7.657759847
-68,-1.850968923,-7.466599307
-67,-1.660700324,-7.276330708
-66,-1.471424838,-7.087055222
-65,-1.283239977,-6.898870361
-64,-1.096239793,-6.711870177
-63,-0.910515075,-6.526145459
-62,-0.726153533,-6.341783917
-61,-0.543239977,-6.158870361
-60,-0.361856482,-5.977486866
-59,-0.182082549,-5.797712933
-58,-0.003995253,-5.619625637
-57,0.172330618,-5.443299766
-56,0.346822429,-5.268807955
-55,0.519409581,-5.096220802
-54,0.690023399,-4.925606985
-53,0.858597024,-4.75703336
-52,1.025065325,-4.590565059
-51,1.189364809,-4.426265575
-50,1.351433547,-4.264196837
-49,1.511211102,-4.104419282
-48,1.668638473,-3.946991911
-47,1.823658035,-3.791972349
-46,1.976213498,-3.639416886
-45,2.126249863,-3.489380521
-44,2.273713394,-3.34191699
-43,2.418551584,-3.1970788
-42,2.560713139,-3.054917245
-41,2.70014796,-2.915482424
-40,2.836807127,-2.778823257
-39,2.970642898,-2.644987486
-38,3.101608697,-2.514021687
-37,3.229659121,-2.385971263
-36,3.354749935,-2.260880449
-35,3.476838081,-2.138792303
-34,3.595881682,-2.019748702
-33,3.711840052,-1.903790332
-32,3.824673702,-1.790956682
-31,3.934344353,-1.681286031
-30,4.040814946,-1.574815438
-29,4.144049652,-1.471580732
-28,4.244013883,-1.371616501
-27,4.340674303,-1.274956081
-26,4.433998838,-1.181631546
-25,4.523956687,-1.091673697
-24,4.610518326,-1.005112058
-23,4.693655523,-0.921974861
-22,4.773341339,-0.842289045
-21,4.849550135,-0.766080249
-20,4.922257578,-0.693372806
-19,4.991440644,-0.62418974
-18,5.05707762,-0.558552763
-17,5.119148105,-0.496482279
-16,5.177633008,-0.437997376
-15,5.232514551,-0.383115833
-14,5.283776263,-0.331854121
-13,5.331402979,-0.284227404
-12,5.375380835,-0.240249549
-11,5.415697262,-0.199933122
-10,5.45234098,-0.163289403
-9,5.485301995,-0.130328389
-8,5.514571587,-0.101058797
-7,5.540142302,-0.075488082
-6,5.562007949,-0.053622435
-5,5.580163584,-0.0354668
-4,5.594605506,-0.021024878
-3,5.605331245,-0.010299139
-2,5.61233955,-0.003290834
-1,5.615630384,0
0,5.615204909,-0.000425475
1,5.611065476,-0.004564908
2,5.603215619,-0.012414765
3,5.591660037,-0.023970347
4,5.57640459,-0.039225794
5,5.557456285,-0.058174099
6,5.534823265,-0.080807119
7,5.508514802,-0.107115582
8,5.478541283,-0.1370891
9,5.444914203,-0.170716181
10,5.40764615,-0.207984234
11,5.3667508,-0.248879583
12,5.322242907,-0.293387477
13,5.274138288,-0.341492095
14,5.22245382,-0.393176564
15,5.167207423,-0.448422961
16,5.108418057,-0.507212327
17,5.046105709,-0.569524675
18,4.980291382,-0.635339002
19,4.910997088,-0.704633296
20,4.838245834,-0.77738455
21,4.762061614,-0.85356877
22,4.682469397,-0.933160987
23,4.599495115,-1.016135269
24,4.513165651,-1.102464733
25,4.423508825,-1.192121559
26,4.330553383,-1.285077001
27,4.234328977,-1.381301407
28,4.134866154,-1.48076423
29,4.032196336,-1.583434048
30,3.926351802,-1.689278582
31,3.817365669,-1.798264715
32,3.705271868,-1.910358516
33,3.590105124,-2.02552526
34,3.471900928,-2.143729456
35,3.350695513,-2.264934871
36,3.226525822,-2.389104562
37,3.099429482,-2.516200901
38,2.969444767,-2.646185616
39,2.836610566,-2.779019818
40,2.700966346,-2.914664038
41,2.562552113,-3.053078271
