Freq [GHz],"(S(4,1)) ","(S(5,1)) ","(S(8,1)) ","(S(9,1)) ","(S(36,1)) ","(S(37,1)) ","(S(40,1)) ","(S(41,1)) ","(S(2,1)) ","(S(3,1)) ","(S(6,1)) ","(S(7,1)) ","(S(34,1)) ","(S(35,1)) ","(S(38,1)) ","(S(39,1)) ","(S(12,1)) ","(S(13,1)) ","(S(16,1)) ","(S(17,1)) ","(S(44,1)) ","(S(45,1)) ","(S(48,1)) ","(S(49,1)) ","(S(10,1)) ","(S(11,1)) ","(S(14,1)) ","(S(15,1)) ","(S(42,1)) ","(S(43,1)) ","(S(46,1)) ","(S(47,1)) ","(S(20,1)) ","(S(21,1)) ","(S(24,1)) ","(S(25,1)) ","(S(52,1)) ","(S(53,1)) ","(S(56,1)) ","(S(57,1)) ","(S(18,1)) ","(S(19,1)) ","(S(22,1)) ","(S(23,1)) ","(S(50,1)) ","(S(51,1)) ","(S(54,1)) ","(S(55,1)) ","(S(28,1)) ","(S(29,1)) ","(S(32,1)) ","(S(33,1)) ","(S(60,1)) ","(S(61,1)) ","(S(64,1)) ","(S(65,1)) ","(S(26,1)) ","(S(27,1)) ","(S(30,1)) ","(S(31,1)) ","(S(58,1)) ","(S(59,1)) ","(S(62,1)) ","(S(63,1)) "
10,1.599476058,84.52312446,0.222208907,83.787489,80.92897334,80.42860801,-0.068160691,82.80490297,0,0.177022875,-3.426054952,80.7945551,77.59058268,77.34779115,79.27755584,-3.734454596,81.68948577,-0.832619667,78.63682726,78.93384867,79.13802191,-3.755780205,79.97637163,-3.372734801,2.414251101,2.93708116,-0.427395064,83.1472168,82.03792489,-0.628830661,82.51551305,-0.658391634,82.05320235,82.90636039,84.6365435,1.243143411,3.5049582,86.25850694,85.35433168,0.987622052,-2.503154322,-2.410852912,-2.226011552,80.70362196,0.848669594,0.588498231,80.22627288,-2.835308628,80.1919502,-2.807909194,79.98459646,80.21229347,0.215409787,82.87313221,-2.061644873,81.46324134,82.29140685,82.21503295,1.891154087,1.610790645,4.047352938,4.020989753,0.968154729,84.4023358
10.5,2.260837857,84.26547089,-0.598827407,82.12694222,80.96990498,80.49933746,1.871250261,83.62968282,0,0.321080057,-3.709947968,79.60005267,78.09219686,77.85608351,80.43423164,-1.142492434,81.27055588,-0.159318683,77.631284,78.14510113,80.01181666,-2.161456276,81.19093297,-1.474547014,2.067312558,2.391609579,-1.521525993,80.99450344,82.58896431,0.702556827,83.44227019,1.042858415,82.43868692,83.1514042,84.30728622,2.121435292,4.789679876,86.23873811,84.21371279,1.137535874,-2.124335641,-1.941057399,-0.975349454,80.67942016,1.657503529,1.351832584,80.17967415,-2.072842992,79.82260467,-2.393317808,81.24561169,81.30862222,1.400921576,83.26612705,-1.470732836,81.16250435,82.31007599,81.84372552,2.187992814,1.819827327,4.21839659,4.292392774,1.152336616,83.86725752
11,2.132327364,86.24635701,-1.330944024,83.17466853,81.8458191,81.52846378,1.451094238,85.08861415,0,0.386170319,-3.797438934,81.22371684,79.28703871,79.02578478,82.3875735,-1.049467883,83.26391594,-0.216136948,79.00964901,79.3880647,81.75153095,-2.289025745,82.91823031,-1.787341012,1.804406766,1.925977143,-2.488041999,81.75686087,83.97493508,0.141643862,84.93635017,0.531882774,83.94694429,84.41117998,85.45180665,1.476168579,1.938201294,85.26278152,82.80472999,-1.764240837,-2.07717201,-1.879898918,-1.133671151,82.39612868,-0.937986491,-1.294559139,79.70168934,-4.58137395,80.74845506,-3.43788271,83.4631776,83.32789389,-1.486134739,82.63020695,-4.769742112,79.91428888,83.25567811,82.66223955,2.04565281,1.637224847,1.338651324,1.46432637,-2.132532325,82.62984502
11.5,2.576757028,90.72091059,0.828900876,88.69125801,84.86159203,84.87261643,1.148871489,88.67483186,0,0.383881678,-1.682125829,86.47711191,82.15858687,81.9696535,85.94525783,-1.501358224,87.18488249,-0.471502779,83.52864083,83.31081929,87.16601085,-0.257954169,86.1247981,-2.192231811,1.558673262,1.53099633,-1.903452915,85.81390614,89.48304237,2.105605636,88.19890629,0.086005338,89.13296249,89.24133345,89.16571554,1.508408694,1.690401948,88.96910576,86.81001208,-0.898066699,-1.472194834,-1.345332132,-0.792419417,86.69124147,-1.13827527,-1.511543617,84.35931346,-3.412537741,84.23890132,-3.513535595,87.9330941,87.55691896,-1.71126005,86.54754707,-3.706082863,84.23508018,87.06943811,86.70340512,1.813106376,1.393837426,0.951065758,1.034527437,-1.419361832,86.96049165
12,2.275612076,94.14969476,3.829708619,94.61161956,88.7842226,89.13326166,0.146589424,91.50710305,0,0.303466903,1.274572389,91.95211743,86.31406347,86.29187466,88.51028812,-2.818527774,90.26476035,-1.50653966,88.55931716,87.30797979,91.31936672,1.018486682,88.89554276,-2.519977384,1.473581424,1.408377111,0.116546341,91.0282649,94.07996683,3.697889343,91.38629713,-0.013766835,92.98350628,92.6882955,92.00628761,0.808856256,2.430139448,93.56405168,92.57490056,2.103704441,-1.079185275,-1.102072197,-1.549024709,89.82090246,-0.162263875,-0.510144216,90.11982067,-0.657214692,87.90686769,-2.995233507,90.30153477,89.70332262,-1.181172755,90.92613651,-0.70812392,90.17984974,90.48811733,90.71358507,1.394786686,0.981427396,2.196120767,2.118532654,1.487928167,92.94918863
12.5,0.888754934,93.36015818,1.815646421,92.7152767,93.67835301,94.15712827,2.673991799,95.05127625,0,0.169204838,-0.672085638,89.68667025,91.51536566,91.63380083,91.77126104,-0.449606216,89.25717645,-3.605826921,88.38417948,86.19805047,90.98906596,0.60145506,91.86283136,0.263021603,0.941790653,0.986723734,0.173033494,91.40440091,93.87938648,3.47330669,94.22782874,2.504090814,91.88624713,91.31648369,93.34230602,1.360539433,-0.016960761,92.06035961,91.63573557,1.172300744,-0.226832197,-0.467527797,-1.108975693,91.23514526,-1.123618354,-1.378891644,89.20980318,-1.591446762,90.77917165,-0.41238568,90.25825256,89.56634002,-3.500066286,89.31735088,-1.376588068,89.61653954,91.92105009,92.78142646,3.391767127,2.976824189,1.340258984,1.047498111,0.68825374,92.25791259
13,0.475980774,89.80602755,-1.212822864,86.83659515,89.72870486,90.18701744,0.399689096,90.13620463,0,0.039947137,-3.422184307,83.83625275,87.66705315,87.90733833,86.71350006,-2.589674868,85.82939769,-4.262296061,85.33750782,82.88690776,82.65065029,-4.722369974,86.06016655,-2.44798001,0.135771245,0.400038248,-0.133377858,87.89651903,85.37390484,-1.731342096,87.99914119,-0.620455441,86.65835905,86.13495621,88.92198744,-0.279619592,-1.856811417,87.39144942,86.71451318,-0.660178073,-1.845091741,-2.260456885,-2.957465938,86.62059027,-2.671151673,-2.835900381,84.36240077,-3.221644041,87.3993041,-0.719920101,86.47086169,85.83013689,-4.797262389,84.96533606,-2.823403211,85.15445419,88.37021552,89.43837351,2.740187757,2.306946665,-0.280557369,-0.672835239,-0.879515515,87.4971723
13.5,2.605363183,88.47362145,4.296946284,89.46803811,91.72647479,91.95284522,3.214055424,89.7660731,0,-0.035309443,2.603247805,86.93131289,89.81557189,89.95781391,86.39795353,0.644577213,85.10625168,-1.612689427,88.50117844,86.17308373,87.05992435,2.600846932,85.27240576,-0.18707432,0.132190233,0.566367955,3.887378446,88.49207406,89.90617003,5.981387746,87.16817998,1.794467678,91.73488398,91.40483654,89.15085381,3.120347699,1.523799237,87.29742681,88.90909494,4.50030082,1.832076649,1.393996063,0.09953454,86.36470276,-1.867767515,-2.037121442,86.51259915,2.013886709,87.43079081,2.366998419,103.5725497,101.4175272,-0.169045353,86.34665939,2.110392914,87.16170147,91.11813077,92.06318093,4.063382367,3.615101932,1.067365737,0.773506639,4.025161456,89.17091806
14,7.495794335,92.99914125,11.80420853,97.29881748,98.9043159,98.86407649,7.850721207,94.01773748,0,-0.041778797,9.766048636,94.47605365,95.91305698,95.78369955,90.05751683,4.932097058,89.83911741,3.695704695,97.57344468,95.71421742,95.19816268,10.60403613,90.07346229,4.417084722,1.225440503,1.681230009,8.725607774,93.39042446,98.23845549,14.27538342,92.13962015,6.908211101,101.9866161,101.8051402,94.06507535,8.141712477,6.335564584,91.55626612,95.38140363,10.77242426,2.466948427,2.103741009,4.662293365,90.46480705,-2.068761136,-2.298058834,91.69865174,6.894932703,90.62607243,5.174228163,97.67141217,97.34882276,3.295856896,89.28577378,7.655554253,93.05991855,99.51838158,100.2309745,3.818857255,3.365034912,0.962380717,0.863412618,10.33515369,95.59782613
14.5,15.86126196,105.3355026,4.727472758,94.80036355,98.08865215,97.76294499,7.952353942,97.9100643,0,0.03464925,2.71035976,92.15182437,94.77200189,94.23067132,92.48401174,3.787225019,101.0033243,11.13170194,97.22700477,95.96140797,88.68618609,-0.571646876,94.57788056,4.223178281,2.053882409,2.398485554,1.584825394,90.58009936,93.01452923,4.503224858,97.13030795,7.558411679,105.2801656,105.1544118,97.93735278,7.854954652,15.91032909,104.791514,97.68171666,8.2677527,-10.27175478,-10.55781368,3.962049878,93.53064576,0.027425174,-0.216482387,91.58628699,1.953824413,88.52999627,-1.621415063,107.1727763,107.0003683,11.40481202,101.3994463,4.389842904,94.59938807,102.532823,102.9457258,-1.203201422,-1.644272846,3.388245056,3.494167826,8.56885287,98.38659053
