Theta [deg],dB(GainTotal) []
-180,10.22102589
-179,10.04508866
-178,9.734553219
-177,9.285990966
-176,8.693438162
-175,7.947835288
-174,7.036077795
-173,5.939437275
-172,4.630878207
-171,3.070279759
-170,1.195313324
-169,-1.097759496
-168,-4.00055401
-167,-7.931905062
-166,-14.15366082
-165,-34.89621753
-164,-17.64062679
-163,-12.00657615
-162,-9.325843779
-161,-7.856921379
-160,-7.093338779
-159,-6.822272422
-158,-6.939946379
-157,-7.395066684
-156,-8.168082672
-155,-9.264493729
-154,-10.7167223
-153,-12.59602737
-152,-15.04520018
-151,-18.37314651
-150,-23.41715585
-149,-34.44472148
-148,-32.40934953
-147,-24.33748143
-146,-20.81960464
-145,-18.79027411
-144,-17.53306659
-143,-16.76175309
-142,-16.33218602
-141,-16.16195719
-140,-16.20097794
-139,-16.41909859
-138,-16.80073655
-137,-17.34297858
-136,-18.05593539
-135,-18.96536289
-134,-20.11887952
-133,-21.59974967
-132,-23.55979021
-131,-26.31163844
-130,-30.67698483
-129,-40.67928363
-128,-38.82128779
-127,-29.7309662
-126,-25.35386007
-125,-22.46400928
-124,-20.32904539
-123,-18.66064127
-122,-17.31492391
-121,-16.2093393
-120,-15.29182498
-119,-14.52718769
-118,-13.89031737
-117,-13.36249545
-116,-12.92924476
-115,-12.57900618
-114,-12.30228537
-113,-12.09107951
-112,-11.93847737
-111,-11.83836982
-110,-11.78523267
-109,-11.77395747
-108,-11.79971483
-107,-11.85784004
-106,-11.9437344
-105,-12.05277843
-104,-12.18025496
-103,-12.3212821
-102,-12.47075778
-101,-12.62331905
-100,-12.77332114
-99,-12.91484244
-98,-13.04172234
-97,-13.14763882
-96,-13.2262306
-95,-13.27126554
-94,-13.27685111
-93,-13.23767554
-92,-13.14926098
-91,-13.0082033
-90,-12.81237064
-89,-12.56103459
-88,-12.25491567
-87,-11.89613647
-86,-11.48808898
-85,-11.03523476
-84,-10.5428637
-83,-10.01683962
-82,-9.463357853
-81,-8.888733607
-80,-8.299232547
-79,-7.700947631
-78,-7.0997208
-77,-6.501104492
-76,-5.910356281
-75,-5.332459716
-74,-4.772165195
-73,-4.234046062
-72,-3.722566704
-71,-3.242161096
-70,-2.797322008
-69,-2.392702876
-68,-2.03323649
-67,-1.724277287
-66,-1.471777704
-65,-1.28251457
-64,-1.164390122
-63,-1.126846521
-62,-1.181457263
-61,-1.342803012
-60,-1.629822722
-59,-2.067997724
-58,-2.693084532
-57,-3.557949877
-56,-4.746250446
-55,-6.403325682
-54,-8.819404702
-53,-12.72926777
-52,-21.36186677
-51,-22.77528685
-50,-12.34584376
-49,-7.575699169
-48,-4.44684014
-47,-2.143344803
-46,-0.358365402
-45,1.054508307
-44,2.173980298
-43,3.044411004
-42,3.68996523
-41,4.121024526
-40,4.336788355
-39,4.325398566
-38,4.061653954
-37,3.501174763
-36,2.567564869
-35,1.122603206
-34,-1.114385786
-33,-4.854826488
-32,-13.15980832
-31,-15.43514918
-30,-4.651343978
-29,0.14760407
-28,3.231176735
-27,5.438223588
-26,7.078852215
-25,8.29676082
-24,9.163875789
-23,9.713094332
-22,9.950237147
-21,9.855953666
-20,9.379055059
-19,8.415796797
-18,6.753330015
-17,3.885116146
-16,-1.930453766
-15,-19.36172591
-14,1.210845966
-13,7.26816056
-12,11.04045375
-11,13.78940907
-10,15.93369499
-9,17.66476058
-8,19.08617957
-7,20.2601185
-6,21.22653957
-5,22.01232353
-4,22.63604834
-3,23.1106725
-2,23.44511405
-1,23.64519977
0,23.71422577
1,23.65325408
2,23.46120558
3,23.13476712
4,22.66809488
5,22.05225383
6,21.27426856
7,20.31554429
8,19.14918353
9,17.73520752
10,16.01143324
11,13.87427074
12,11.13225489
13,7.366701418
14,1.315911257
15,-19.25036669
16,-1.813045977
17,4.008312655
18,6.882041353
19,8.549735506
20,9.517920632
21,9.99943312
22,10.09800563
23,9.864815804
24,9.319203707
25,8.45533891
26,7.240315271
27,5.602198316
28,3.397282645
29,0.315454404
30,-4.482141278
31,-15.26499048
32,-12.98909323
33,-4.683956836
34,-0.943764509
35,1.292573167
36,2.736481701
37,3.668638922
38,4.227269324
39,4.488773624
40,4.497537344
41,4.27876863
42,3.844333762
43,3.195042584
44,2.320524045
45,1.196625028
46,-0.221002012
47,-2.011046959
48,-4.319904745
49,-7.454406585
50,-12.23045655
51,-22.66604848
52,-21.25900029
53,-12.63297445
54,-8.729862584
55,-6.320688077
56,-4.670644347
57,-3.489474268
58,-2.63180858
59,-2.013958838
60,-1.583024456
61,-1.3032128
62,-1.149003949
63,-1.101417678
64,-1.145829121
65,-1.270617379
66,-1.466289389
67,-1.724888183
68,-2.039578016
69,-2.40434295
70,-2.813760051
71,-3.26282256
72,-3.746797115
73,-4.26110453
74,-4.801217345
75,-5.362570023
76,-5.940479755
77,-6.530077685
78,-7.126252103
79,-7.723606823
80,-8.316439575
81,-8.898746583
82,-9.464260239
83,-10.00652661
84,-10.5190278
85,-10.99535061
86,-11.42939741
87,-11.81562788
88,-12.14931286
89,-12.42677504
90,-12.64558848
91,-12.80471105
92,-12.90453132
93,-12.94682335
94,-12.93461597
95,-12.87199507
96,-12.76386492
97,-12.61569654
98,-12.43328839
99,-12.22255815
100,-11.98937708
101,-11.73945078
102,-11.47824516
103,-11.21095227
104,-10.9424895
105,-10.67752478
106,-10.42052194
107,-10.17580088
108,-9.947609563
109,-9.740205936
110,-9.557950013
111,-9.405407975
112,-9.287472394
113,-9.209505283
114,-9.177514451
115,-9.198379096
116,-9.280149286
117,-9.432458234
118,-9.667110863
119,-9.99895627
120,-10.44723506
121,-11.03775936
122,-11.80664136
123,-12.80712402
124,-14.12325654
125,-15.90078294
126,-18.43034506
127,-22.44714032
128,-31.18053876
129,-32.68904171
130,-22.34937636
131,-17.66410873
132,-14.61562127
133,-12.38837675
134,-10.67590008
135,-9.332140656
136,-8.278740341
137,-7.471670254
138,-6.887082526
139,-6.514897823
140,-6.356204209
141,-6.423132846
142,-6.74114372
143,-7.354861507
144,-8.340913839
145,-9.837740386
146,-12.12622295
147,-15.91798037
148,-24.27428536
149,-26.60112853
150,-15.86916758
151,-11.12255922
152,-8.091966459
153,-5.938676442
154,-4.352710838
155,-3.190493827
156,-2.380215116
157,-1.889087874
158,-1.711396608
159,-1.866592467
160,-2.405960746
161,-3.433338841
162,-5.161665367
163,-8.097566002
164,-13.98273464
165,-31.48560066
166,-10.98669972
167,-5.005214139
168,-1.310988595
169,1.357579983
170,3.419079268
171,5.064876854
172,6.398463929
173,7.481923104
174,8.355130836
175,9.044880085
176,9.569658521
177,9.942331648
178,10.17172142
179,10.26355517
180,10.22102589
