Theta [deg],dB10normalize(GainTotal) [],dB(GainTotal) []
-180,-22.7991055,-17.30483616
-179,-22.79013387,-17.29586453
-178,-22.76154491,-17.26727557
-177,-22.71289941,-17.21863007
-176,-22.64408637,-17.14981703
-175,-22.55532985,-17.0610605
-174,-22.44717843,-16.95290908
-173,-22.32047858,-16.82620924
-172,-22.17633456,-16.68206522
-171,-22.0160587,-16.52178935
-170,-21.84111659,-16.34684724
-169,-21.65307142,-16.15880208
-168,-21.45353128,-15.95926194
-167,-21.2441021,-15.74983276
-166,-21.02634823,-15.53207888
-165,-20.80176123,-15.30749189
-164,-20.57173706,-15.07746772
-163,-20.33756082,-14.84329147
-162,-20.10039823,-14.60612888
-161,-19.8612926,-14.36702326
-160,-19.62116606,-14.12689671
-159,-19.38082398,-13.88655464
-158,-19.14096166,-13.64669231
-157,-18.90217226,-13.40790291
-156,-18.66495566,-13.17068632
-155,-18.42972745,-12.9354581
-154,-18.19682781,-12.70255847
-153,-17.96653016,-12.47226082
-152,-17.73904912,-12.24477978
-151,-17.51454804,-12.02027869
-150,-17.29314573,-11.79887639
-149,-17.07492267,-11.58065333
-148,-16.85992648,-11.36565713
-147,-16.64817681,-11.15390746
-146,-16.43966969,-10.94540035
-145,-16.23438136,-10.74011202
-144,-16.03227157,-10.53800223
-143,-15.83328651,-10.33901716
-142,-15.63736134,-10.14309199
-141,-15.44442238,-9.950153039
-140,-15.25438903,-9.760119682
-139,-15.06717532,-9.572905976
-138,-14.88269138,-9.388422039
-137,-14.70084458,-9.206575236
-136,-14.52154053,-9.027271183
-135,-14.34468393,-8.850414582
-134,-14.17017928,-8.675909937
-133,-13.99793148,-8.503662131
-132,-13.82784626,-8.333576911
-131,-13.65983063,-8.165561281
-130,-13.49379316,-7.999523812
-129,-13.32964424,-7.835374898
-128,-13.16729629,-7.673026943
-127,-13.00666385,-7.51239451
-126,-12.84766377,-7.35339443
-125,-12.69021522,-7.195945873
-124,-12.53423975,-7.039970403
-123,-12.37966135,-6.885392004
-122,-12.22640644,-6.732137091
-121,-12.07440386,-6.580134516
-120,-11.9235849,-6.429315555
-119,-11.77388324,-6.2796139
-118,-11.62523498,-6.13096564
-117,-11.47757859,-5.983309245
-116,-11.33085489,-5.836585549
-115,-11.18500708,-5.690737736
-114,-11.03998067,-5.545711326
-113,-10.89572351,-5.401454166
-112,-10.75218577,-5.257916427
-111,-10.60931994,-5.115050597
-110,-10.46708083,-4.972811487
-109,-10.32542558,-4.831156232
-108,-10.18431365,-4.690044302
-107,-10.04370685,-4.549437507
-106,-9.90356936,-4.409300016
-105,-9.763867705,-4.26959836
-104,-9.6245708,-4.130301456
-103,-9.485649954,-3.99138061
-102,-9.347078881,-3.852809537
-101,-9.208833712,-3.714564367
-100,-9.070893,-3.576623655
-99,-8.933237731,-3.438968387
-98,-8.795851324,-3.30158198
-97,-8.658719626,-3.164450281
-96,-8.521830909,-3.027561565
-95,-8.385175862,-2.890906517
-94,-8.248747567,-2.754478222
-93,-8.112541487,-2.618272143
-92,-7.976555437,-2.482286092
-91,-7.840789548,-2.346520204
-90,-7.705246239,-2.210976895
-89,-7.569930167,-2.075660823
-88,-7.434848187,-1.940578842
-87,-7.300009293,-1.805739949
-86,-7.165424569,-1.671155224
-85,-7.031107123,-1.536837779
-84,-6.897072026,-1.402802682
-83,-6.763336242,-1.269066897
-82,-6.629918556,-1.135649212
-81,-6.496839505,-1.002570161
-80,-6.364121296,-0.869851952
-79,-6.231787732,-0.737518388
-78,-6.099864132,-0.605594787
-77,-5.96837725,-0.474107906
-76,-5.837355198,-0.343085854
-75,-5.706827364,-0.212558019
-74,-5.576824329,-0.082554985
-73,-5.447377796,0.046891549
-72,-5.318520504,0.175748841
-71,-5.190286159,0.303983185
-70,-5.062709356,0.431559989
-69,-4.935825508,0.558443837
-68,-4.809670777,0.684598567
-67,-4.684282007,0.809987337
-66,-4.559696659,0.934572685
-65,-4.435952751,1.058316593
-64,-4.313088798,1.181180547
-63,-4.191143755,1.303125589
-62,-4.070156971,1.424112374
-61,-3.950168129,1.544101216
-60,-3.831217207,1.663052137
-59,-3.71334443,1.780924914
-58,-3.596590229,1.897679115
-57,-3.4809952,2.013274144
-56,-3.366600068,2.127669277
-55,-3.253445649,2.240823696
-54,-3.141572819,2.352696526
-53,-3.03102248,2.463246864
-52,-2.921835529,2.572433815
-51,-2.814052827,2.680216518
-50,-2.707715169,2.786554176
-49,-2.602863257,2.891406088
-48,-2.499537669,2.994731676
-47,-2.397778831,3.096490513
-46,-2.297626989,3.196642355
-45,-2.199122176,3.295147168
-44,-2.102304188,3.391965156
-43,-2.007212547,3.487056798
-42,-1.913886473,3.580382871
-41,-1.822364854,3.67190449
-40,-1.732686208,3.761583137
-39,-1.644888651,3.849380694
-38,-1.559009862,3.935259483
-37,-1.475087047,4.019182297
-36,-1.393156902,4.101112442
-35,-1.313255572,4.181013772
-34,-1.235418615,4.258850729
-33,-1.159680961,4.334588383
-32,-1.086076872,4.408192473
-31,-1.014639897,4.479629447
-30,-0.945402837,4.548866508
-29,-0.878397696,4.615871648
-28,-0.813655645,4.6806137
-27,-0.751206973,4.743062371
-26,-0.691081053,4.803188291
-25,-0.633306292,4.860963052
-24,-0.577910096,4.916359248
-23,-0.524918827,4.969350518
-22,-0.474357761,5.019911583
-21,-0.426251055,5.068018289
-20,-0.380621705,5.113647639
-19,-0.337491511,5.156777833
-18,-0.296881044,5.1973883
-17,-0.258809612,5.235459732
-16,-0.223295232,5.270974112
-15,-0.190354597,5.303914748
-14,-0.160003054,5.33426629
-13,-0.13225458,5.362014765
-12,-0.107121758,5.387147587
-11,-0.084615762,5.409653582
-10,-0.064746342,5.429523002
-9,-0.047521808,5.446747536
-8,-0.032949027,5.461320318
-7,-0.021033409,5.473235935
-6,-0.011778916,5.482490429
-5,-0.005188051,5.489081293
-4,-0.001261874,5.493007471
-3,0,5.494269344
-2,-0.00140062,5.492868724
-1,-0.005460512,5.488808832
0,-0.01217506,5.482094285
1,-0.021538277,5.472731068
2,-0.033542833,5.460726511
3,-0.048180084,5.44608926
4,-0.065440104,5.428829241
5,-0.085311721,5.408957624
6,-0.107782557,5.386486787
7,-0.132839072,5.361430272
8,-0.160466603,5.333802741
9,-0.190649417,5.303619927
10,-0.223370757,5.270898587
11,-0.258612893,5.235656451
12,-0.296357176,5.197912168
13,-0.336584093,5.157685251
14,-0.37927332,5.114996024
15,-0.424403778,5.069865566
16,-0.471953694,5.022315651
17,-0.521900651,4.972368694
18,-0.574221651,4.920047694
19,-0.628893168,4.865376176
20,-0.685891206,4.808378138
21,-0.745191354,4.74907799
22,-0.806768837,4.687500508
23,-0.870598573,4.623670771
24,-0.936655224,4.557614121
25,-1.004913242,4.489356102
26,-1.075346924,4.41892242
27,-1.147930452,4.346338892
28,-1.222637941,4.271631404
29,-1.299443479,4.194825865
30,-1.378321172,4.115948172
31,-1.459245179,4.035024166
32,-1.542189746,3.952079598
33,-1.627129249,3.867140096
34,-1.714038217,3.780231127
35,-1.802891371,3.691377973
36,-1.893663649,3.600605695
37,-1.986330234,3.507939111
38,-2.080866581,3.413402764
39,-2.177248444,3.317020901
40,-2.275451897,3.218817448
41,-2.375453358,3.118815986
42,-2.477229615,3.01703973
43,-2.58075784,2.913511505
44,-2.686015618,2.808253727
45,-2.792980965,2.70128838
46,-2.901632347,2.592636997
47,-3.011948706,2.482320638
48,-3.123909477,2.370359868
49,-3.237494607,2.256774737
50,-3.352684586,2.141584758
51,-3.46946046,2.024808885
52,-3.587803855,1.906465489
53,-3.707697006,1.786572338
54,-3.829122772,1.665146573
55,-3.952064665,1.54220468
56,-4.076506872,1.417762472
57,-4.202434282,1.291835063
58,-4.329832503,1.164436841
59,-4.458687895,1.03558145
60,-4.588987585,0.905281759
61,-4.720719497,0.773549847
62,-4.853872368,0.640396976
63,-4.988435772,0.505833572
64,-5.124400136,0.369869208
65,-5.261756759,0.232512585
66,-5.400497823,0.093771522
67,-5.540616404,-0.04634706
68,-5.682106483,-0.187837138
69,-5.82496294,-0.330693596
70,-5.969181561,-0.474912217
71,-6.114759023,-0.620489678
72,-6.26169288,-0.767423536
73,-6.409981547,-0.915712203
74,-6.559624263,-1.065354918
75,-6.710621057,-1.216351713
76,-6.862972702,-1.368703358
77,-7.016680653,-1.522411309
78,-7.171746981,-1.677477637
79,-7.32817429,-1.833904945
80,-7.485965623,-1.991696279
81,-7.645124358,-2.150855013
82,-7.80565408,-2.311384735
83,-7.967558446,-2.473289102
84,-8.130841032,-2.636571688
85,-8.295505158,-2.801235814
86,-8.461553699,-2.967284355
87,-8.628988881,-3.134719537
88,-8.797812049,-3.303542704
89,-8.968023419,-3.473754075
90,-9.139621818,-3.645352473
91,-9.312604385,-3.818335041
92,-9.486966273,-3.992696929
93,-9.662700314,-4.168430969
