Freq [GHz],"dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []","dB(S(5,1)) []","dB(S(6,1)) []","dB(S(7,1)) []","dB(S(8,1)) []","dB(S(9,1)) []","dB(S(10,1)) []","dB(S(11,1)) []","dB(S(12,1)) []","dB(S(13,1)) []","dB(S(14,1)) []","dB(S(15,1)) []","dB(S(16,1)) []","dB(S(17,1)) []","dB(S(18,1)) []","dB(S(19,1)) []","dB(S(20,1)) []","dB(S(21,1)) []","dB(S(22,1)) []","dB(S(23,1)) []","dB(S(24,1)) []","dB(S(25,1)) []","dB(S(26,1)) []","dB(S(27,1)) []","dB(S(28,1)) []","dB(S(29,1)) []","dB(S(30,1)) []","dB(S(31,1)) []","dB(S(32,1)) []","dB(S(33,1)) []","dB(S(35,1)) []","dB(S(36,1)) []","dB(S(37,1)) []","dB(S(38,1)) []","dB(S(39,1)) []","dB(S(40,1)) []","dB(S(41,1)) []","dB(S(42,1)) []","dB(S(43,1)) []","dB(S(44,1)) []","dB(S(45,1)) []","dB(S(46,1)) []","dB(S(47,1)) []","dB(S(48,1)) []","dB(S(49,1)) []","dB(S(50,1)) []","dB(S(51,1)) []","dB(S(52,1)) []","dB(S(53,1)) []","dB(S(54,1)) []","dB(S(55,1)) []","dB(S(56,1)) []","dB(S(57,1)) []","dB(S(58,1)) []","dB(S(59,1)) []","dB(S(60,1)) []","dB(S(61,1)) []","dB(S(62,1)) []","dB(S(63,1)) []","dB(S(64,1)) []","dB(S(65,1)) []","dB(S(66,1)) []"
10,-18.98722631,-19.03589182,-18.78215009,-18.88878913,-18.76821727,-18.85077513,-18.6369171,-18.73559651,-18.78087078,-18.80114148,-18.88104347,-18.99606791,-18.63862262,-18.73951384,-18.84963908,-18.98005507,-18.80255882,-18.86341115,-18.65409745,-18.77066331,-18.84467332,-18.9183608,-18.70233552,-18.80569077,-18.68413947,-18.71156171,-18.75663022,-18.81144657,-18.79446004,-18.80919179,-18.82192537,-18.96276687,-19.02167649,-19.09405705,-18.86065594,-18.9323251,-19.02223481,-19.0998594,-18.81196646,-18.9376948,-18.78430769,-18.90044135,-18.99416703,-19.02118029,-18.71172678,-18.85659791,-18.94353082,-18.98391794,-18.95745161,-19.02017591,-18.80082667,-18.91259756,-18.86600933,-18.9080477,-18.7729158,-18.79541668,-18.78461714,-18.86788373,-18.91774373,-19.02099955,-18.75909935,-18.88095156,-18.97331232,-19.07019254
10.5,-18.81650976,-18.80588732,-18.59205226,-18.65686622,-18.61068585,-18.62303131,-18.43895541,-18.5258772,-18.58643241,-18.53124588,-18.69898813,-18.71946471,-18.50753645,-18.53064096,-18.65592338,-18.7155994,-18.66537865,-18.6456241,-18.5146408,-18.5983509,-18.71798924,-18.70555072,-18.57187622,-18.61276889,-18.57115894,-18.53697591,-18.62141792,-18.59685913,-18.68068288,-18.64024564,-18.70154711,-18.78997915,-18.76928599,-18.76201414,-18.56245553,-18.60544486,-18.78936286,-18.79630481,-18.54450913,-18.62748039,-18.52250349,-18.54948295,-18.70548728,-18.65405202,-18.48236126,-18.5383798,-18.69974285,-18.66680442,-18.68233793,-18.694471,-18.54334375,-18.61520705,-18.57796962,-18.54598819,-18.52808339,-18.49757912,-18.55232864,-18.56497141,-18.67434932,-18.70275959,-18.48480664,-18.55964377,-18.71626241,-18.72387914
11,-18.75073013,-18.87466166,-18.51157903,-18.70061048,-18.5841739,-18.72886215,-18.32923002,-18.56125915,-18.44450437,-18.52326473,-18.66205447,-18.77794851,-18.58933929,-18.68262187,-18.65752068,-18.84689064,-18.69712208,-18.79727811,-18.47741308,-18.68992969,-18.73657918,-18.85854909,-18.4949683,-18.66760849,-18.59108281,-18.67622154,-18.47782637,-19.0313064,-18.53788627,-18.63317724,-18.6561817,-18.8912719,-18.74015107,-18.85500596,-18.42884181,-18.6154589,-18.70608521,-18.83823814,-18.43739513,-18.64029822,-18.55650869,-18.63433755,-18.64361707,-18.70556751,-18.33140788,-18.4782935,-18.61546628,-18.72482412,-18.66949313,-18.83237947,-18.4750732,-18.67669228,-18.56669423,-18.66495657,-18.44173359,-18.55559072,-18.43746641,-18.56533901,-18.62961009,-18.82223201,-18.42423132,-18.60977679,-18.68869648,-18.80313996
11.5,-18.79557327,-18.87867932,-18.48150059,-18.61085479,-18.60509121,-18.69437158,-18.31170972,-18.46923926,-18.43389075,-18.49913353,-18.73130127,-18.77907388,-18.42655785,-18.51766442,-18.69398602,-18.79729474,-18.71809129,-18.78532503,-18.47997337,-18.62130708,-18.72910631,-18.80294322,-18.4235243,-18.52617785,-18.56532491,-18.63193836,-18.69996175,-18.76575335,-18.51774726,-18.60267027,-18.73690407,-18.85696739,-18.82043327,-18.86746725,-18.46502942,-18.60858312,-18.67945546,-18.76612885,-18.3108119,-18.45386723,-18.40562476,-18.47130296,-18.70096602,-18.71276419,-18.28084349,-18.35288477,-18.5548097,-18.66045041,-18.75948439,-18.88413437,-18.54189255,-18.66641498,-18.67620551,-18.74399302,-18.46937733,-18.55154735,-18.50757,-18.58364211,-18.7373132,-18.81694843,-18.45318915,-18.6142784,-18.7530721,-18.82284733
12,-18.99086347,-18.73191827,-18.68131089,-18.43361738,-18.80396934,-18.54126901,-18.51760083,-18.28758797,-18.64514758,-18.39198706,-19.04374748,-18.74527931,-18.58780873,-18.3250767,-18.90126051,-18.6356759,-18.81102859,-18.55247149,-18.60472121,-18.34812669,-18.79143317,-18.53396583,-18.5005773,-18.23542005,-18.66176493,-18.3810768,-18.80491191,-18.54413982,-18.58521759,-18.33542666,-18.87597823,-18.61452916,-19.05249654,-18.75652815,-18.69213311,-18.47515289,-18.82598969,-18.56400629,-18.44364838,-18.21363245,-18.620938,-18.30766286,-18.91296761,-18.57560083,-18.46515308,-18.16105861,-18.7263426,-18.53490062,-18.96311809,-18.74176613,-18.76047508,-18.49819659,-18.912483,-18.64821599,-18.64172863,-18.38989305,-18.68872007,-18.41391307,-18.96535435,-18.69113856,-18.61566749,-18.41968342,-18.91402011,-18.63634624
12.5,-19.30724819,-18.57174803,-18.99627961,-18.24528596,-19.10597461,-18.35674714,-18.845597,-18.10337107,-18.91246664,-18.19268441,-19.27986392,-18.4942043,-18.85493705,-18.10164964,-19.21536637,-18.46024827,-19.01231892,-18.29784385,-18.84981031,-18.06406934,-19.03649932,-18.30297214,-18.7765448,-18.01036114,-18.92283065,-18.15780007,-19.07349478,-18.36589126,-18.84991013,-18.10796994,-19.14290474,-18.39009552,-19.33713473,-18.5800465,-18.99195713,-18.27982663,-19.11693856,-18.36998514,-18.74698429,-18.01681043,-18.93939057,-18.11065007,-19.23448299,-18.43171406,-18.78985709,-17.99093991,-19.02353653,-18.38421073,-19.21617643,-18.50133868,-18.98018737,-18.20797246,-19.12818295,-18.40193197,-18.83267894,-18.10308621,-18.88900275,-18.14213552,-19.19390494,-18.44919479,-18.83567234,-18.14473253,-19.13151176,-18.37633744
13,-19.51295076,-18.68357706,-19.14272992,-18.28610378,-19.30273371,-18.44831174,-19.01847643,-18.17817732,-19.03951062,-18.2225695,-19.42237394,-18.57215609,-18.97120505,-18.10954035,-19.38290492,-18.53129106,-19.14970021,-18.34294333,-18.93301456,-18.02582066,-19.17666281,-18.3290332,-18.90587156,-18.04323049,-19.03809331,-18.17285252,-19.23218543,-18.46364289,-19.02817655,-18.16389517,-19.3179186,-18.47992604,-19.32243677,-18.49192039,-18.94636861,-18.14108794,-19.20590483,-18.3497142,-18.79477921,-17.96357933,-18.97564184,-18.02473273,-19.26320582,-18.39416858,-18.88578909,-17.99707974,-19.14587125,-18.3995676,-19.26367395,-18.42905907,-18.9707493,-18.09178999,-19.22235849,-18.4136335,-18.89719721,-18.07512207,-18.86570399,-18.0371841,-19.23386884,-18.40782735,-18.88084201,-18.07524843,-19.21561666,-18.37479828
13.5,-19.48580203,-19.29950752,-19.01856657,-18.79405836,-19.25585413,-19.03024926,-18.85129509,-18.64189563,-18.91898776,-18.721945,-19.36509237,-19.18935698,-18.79788358,-18.55168875,-19.3191428,-19.09565853,-19.08033142,-18.89712866,-18.76664843,-18.49169725,-19.22659957,-18.9899507,-18.83786325,-18.60994493,-18.90704871,-18.67745599,-19.20292375,-19.08796941,-18.94680822,-18.69210774,-19.33233642,-19.15087179,-19.14026575,-18.95790012,-18.69506544,-18.52531262,-19.12656201,-18.89270399,-18.62786416,-18.4247566,-18.74650079,-18.42304399,-19.12805913,-18.92787543,-18.7210566,-18.4777139,-19.05343029,-18.89736059,-19.24213306,-19.0131467,-18.80739476,-18.57732108,-19.17743885,-19.00402531,-18.77887756,-18.58606239,-18.68320129,-18.49032365,-19.18669169,-18.99813725,-18.75016016,-18.55060215,-19.18223289,-18.98946987
14,-18.88554562,-19.90104109,-18.27773346,-19.23325782,-18.70491818,-19.65610199,-18.18227634,-19.13062225,-18.25309184,-19.22749238,-18.80172123,-19.83230679,-18.17790346,-19.09011341,-18.82272301,-19.75206554,-18.53742822,-19.52391982,-18.05644414,-18.96671023,-18.70486095,-19.63810541,-18.19288597,-19.13671574,-18.21794069,-19.17769224,-18.65398166,-19.71781799,-18.22885559,-19.14332503,-18.70877817,-19.71580296,-18.61632314,-19.61561716,-18.05707044,-19.06714729,-18.61661407,-19.56029982,-17.96877835,-18.91746638,-18.12118731,-18.98352608,-18.58940429,-19.59968448,-18.06609605,-19.00049859,-18.55690877,-19.53958625,-18.64211311,-19.57168724,-18.11325712,-19.06557826,-18.52305905,-19.51192687,-17.95969878,-18.93655148,-17.93079405,-18.90366006,-18.57185421,-19.53873779,-18.04412882,-18.98693594,-18.58468733,-19.57621175
14.5,-18.48042936,-20.92917971,-17.94565054,-20.33465302,-18.67945562,-21.03177547,-17.99873018,-20.31400831,-17.93030914,-20.32646273,-18.43031152,-20.87759822,-17.96722093,-20.27511108,-18.72076063,-21.01248784,-18.2806558,-20.65860851,-17.73843938,-20.06934243,-18.49463532,-20.82970291,-17.9871797,-20.33252117,-17.88288929,-20.2695735,-18.384473,-20.84195437,-17.82625991,-20.15634583,-18.55861644,-20.92326701,-18.62377477,-21.02155199,-17.92659726,-20.34535443,-18.35295677,-20.67920259,-17.62570772,-19.93141992,-18.00757048,-20.30151473,-18.58083094,-21.02888271,-17.89949949,-20.23370387,-18.38381317,-20.73185633,-18.69765711,-21.01891438,-18.19873876,-20.56095066,-18.40713375,-20.76352228,-17.84751913,-20.23580145,-17.75263695,-20.12288492,-18.58799834,-20.91556399,-17.89396366,-20.20916034,-18.50497737,-20.90302529
