Theta [deg],dB10normalize(GainTotal) [],dB(GainTotal) []
-180,-13.25123501,-7.615345238
-178,-13.50908069,-7.873190917
-176,-13.79926635,-8.16337658
-174,-14.12290755,-8.487017784
-172,-14.4811326,-8.845242832
-170,-14.87505703,-9.239167257
-168,-15.30573663,-9.669846856
-166,-15.77408674,-10.13819697
-164,-16.28074873,-10.64485896
-162,-16.82587456,-11.18998479
-160,-17.40878559,-11.77289582
-158,-18.02744252,-12.39155275
-156,-18.67764181,-13.04175204
-154,-19.35184221,-13.71595244
-152,-20.03755749,-14.40166772
-150,-20.71540194,-15.07951217
-148,-21.35726956,-15.72137979
-146,-21.92585495,-16.28996519
-144,-22.37751803,-16.74162826
-142,-22.67023874,-17.03434897
-140,-22.77555534,-17.13966557
-138,-22.68875232,-17.05286255
-136,-22.43037612,-16.79448636
-134,-22.0379312,-16.40204143
-132,-21.55368622,-15.91779645
-130,-21.01528838,-15.37939861
-128,-20.45157773,-14.81568796
-126,-19.88235612,-14.24646635
-124,-19.32000235,-13.68411258
-122,-18.77147817,-13.1355884
-120,-18.2400716,-12.60418183
-118,-17.72670949,-12.09081972
-116,-17.23087659,-11.59498682
-114,-16.75123402,-11.11534425
-112,-16.28602593,-10.65013616
-110,-15.83334265,-10.19745288
-108,-15.39128792,-9.755398149
-106,-14.95808246,-9.322192694
-104,-14.53212478,-8.896235006
-102,-14.11202293,-8.476133163
-100,-13.69660661,-8.060716844
-98,-13.28492555,-7.649035779
-96,-12.87623885,-7.240349078
-94,-12.46999845,-6.83410868
-92,-12.06582916,-6.429939393
-90,-11.66350717,-6.027617397
-88,-11.2629384,-5.62704863
-86,-10.86413786,-5.228248088
-84,-10.4672105,-4.831320734
-82,-10.07233421,-4.436444441
-80,-9.679744938,-4.043855169
-78,-9.289724151,-3.653834381
-76,-8.902588373,-3.266698604
-74,-8.518680682,-2.882790913
-72,-8.138363897,-2.502474127
-70,-7.762015203,-2.126125434
-68,-7.390021959,-1.75413219
-66,-7.022778439,-1.38688867
-64,-6.660683321,-1.024793552
-62,-6.304137729,-0.66824796
-60,-5.953543687,-0.317653918
-58,-5.609302883,0.026586886
-56,-5.271815637,0.364074132
-54,-4.94148002,0.694409749
-52,-4.618691071,1.017198699
-50,-4.303840076,1.332049693
-48,-3.99731389,1.63857588
-46,-3.699494269,1.9363955
-44,-3.410757224,2.225132545
-42,-3.131472366,2.504417403
-40,-2.862002247,2.773887522
-38,-2.602701689,3.033188081
-36,-2.3539171,3.281972669
-34,-2.115985781,3.519903988
-32,-1.88923521,3.74665456
-30,-1.67398232,3.961907449
-28,-1.470532772,4.165356997
-26,-1.27918022,4.35670955
-24,-1.100205582,4.535684187
-22,-0.933876328,4.702013441
-20,-0.780445783,4.855443986
-18,-0.640152463,4.995737306
-16,-0.51321945,5.122670319
-14,-0.399853812,5.236035957
-12,-0.300246086,5.335643683
-10,-0.214569809,5.42131996
-8,-0.14298113,5.492908639
-6,-0.085618474,5.550271295
-4,-0.042602283,5.593287486
-2,-0.014034815,5.621854954
0,0,5.635889769
2,-0.000563339,5.63532643
4,-0.015771842,5.620117927
6,-0.045653985,5.590235784
8,-0.090219663,5.545670106
10,-0.149460144,5.486429625
