Angle,Gain
-179,-30
-178,-30
-177,-30
-176,-30
-175,-30
-174,-30
-173,-30
-172,-30
-171,-30
-170,-30
-169,-30
-168,-30
-167,-30
-166,-30
-165,-30
-164,-30
-163,-30
-162,-30
-161,-30
-160,-30
-159,-30
-158,-30
-157,-30
-156,-30
-155,-30
-154,-30
-153,-30
-152,-30
-151,-30
-150,-30
-149,-30
-148,-30
-147,-30
-146,-30
-145,-30
-144,-30
-143,-30
-142,-30
-141,-30
-140,-30
-139,-30
-138,-30
-137,-30
-136,-30
-135,-30
-134,-30
-133,-30
-132,-30
-131,-30
-130,-30
-129,-30
-128,-30
-127,-30
-126,-30
-125,-30
-124,-30
-123,-30
-122,-30
-121,-30
-120,-30
-119,-30
-118,-30
-117,-30
-116,-30
-115,-30
-114,-30
-113,-30
-112,-30
-111,-30
-110,-30
-109,-30
-108,-30
-107,-30
-106,-30
-105,-30
-104,-30
-103,-30
-102,-29.55
-101,-28.973
-100,-28.402
-99,-27.837
-98,-27.278
-97,-26.724
-96,-26.176
-95,-25.633
-94,-25.096
-93,-24.565
-92,-24.04
-91,-23.52
-90,-23.006
-89,-22.498
-88,-21.995
-87,-21.498
-86,-21.006
-85,-20.521
-84,-20.041
-83,-19.566
-82,-19.098
-81,-18.635
-80,-18.178
-79,-17.726
-78,-17.28
-77,-16.84
-76,-16.405
-75,-15.976
-74,-15.553
-73,-15.136
-72,-14.724
-71,-14.318
-70,-13.917
-69,-13.522
-68,-13.133
-67,-12.75
-66,-12.372
-65,-12
-64,-11.634
-63,-11.273
-62,-10.918
-61,-10.569
-60,-10.225
-59,-9.8869
-58,-9.5546
-57,-9.2279
-56,-8.907
-55,-8.5917
-54,-8.2821
-53,-7.9782
-52,-7.68
-51,-7.3875
-50,-7.1006
-49,-6.8194
-48,-6.5439
-47,-6.2741
-46,-6.0099
-45,-5.7515
-44,-5.4987
-43,-5.2516
-42,-5.0102
-41,-4.7744
-40,-4.5444
-39,-4.32
-38,-4.1013
-37,-3.8883
-36,-3.6809
-35,-3.4793
-34,-3.2833
-33,-3.093
-32,-2.9084
-31,-2.7295
-30,-2.5562
-29,-2.3886
-28,-2.2267
-27,-2.0705
-26,-1.92
-25,-1.7751
-24,-1.636
-23,-1.5025
-22,-1.3747
-21,-1.2525
-20,-1.1361
-19,-1.0253
-18,-0.92024
-17,-0.82083
-16,-0.7271
-15,-0.63905
-14,-0.55669
-13,-0.48
-12,-0.40899
-11,-0.34367
-10,-0.28402
-9,-0.23006
-8,-0.18178
-7,-0.13917
-6,-0.10225
-5,-0.071006
-4,-0.045444
-3,-0.025562
-2,-0.011361
-1,-0.0028402
0,0
1,-0.0028402
2,-0.011361
3,-0.025562
4,-0.045444
5,-0.071006
6,-0.10225
7,-0.13917
8,-0.18178
9,-0.23006
10,-0.28402
11,-0.34367
12,-0.40899
13,-0.48
14,-0.55669
15,-0.63905
16,-0.7271
17,-0.82083
18,-0.92024
19,-1.0253
20,-1.1361
21,-1.2525
22,-1.3747
23,-1.5025
24,-1.636
25,-1.7751
26,-1.92
27,-2.0705
28,-2.2267
29,-2.3886
30,-2.5562
31,-2.7295
32,-2.9084
33,-3.093
34,-3.2833
35,-3.4793
36,-3.6809
37,-3.8883
38,-4.1013
39,-4.32
40,-4.5444
41,-4.7744
42,-5.0102
43,-5.2516
44,-5.4987
45,-5.7515
46,-6.0099
47,-6.2741
48,-6.5439
49,-6.8194
50,-7.1006
51,-7.3875
52,-7.68
53,-7.9782
54,-8.2821
55,-8.5917
56,-8.907
57,-9.2279
58,-9.5546
59,-9.8869
60,-10.225
61,-10.569
62,-10.918
63,-11.273
64,-11.634
65,-12
66,-12.372
67,-12.75
68,-13.133
69,-13.522
70,-13.917
71,-14.318
72,-14.724
73,-15.136
74,-15.553
75,-15.976
76,-16.405
77,-16.84
78,-17.28
79,-17.726
80,-18.178
81,-18.635
82,-19.098
83,-19.566
84,-20.041
85,-20.521
86,-21.006
87,-21.498
88,-21.995
89,-22.498
90,-23.006
91,-23.52
92,-24.04
93,-24.565
94,-25.096
95,-25.633
96,-26.176
97,-26.724
98,-27.278
99,-27.837
100,-28.402
101,-28.973
102,-29.55
103,-30
104,-30
105,-30
106,-30
107,-30
108,-30
109,-30
110,-30
111,-30
112,-30
113,-30
114,-30
115,-30
116,-30
117,-30
118,-30
119,-30
120,-30
121,-30
122,-30
123,-30
124,-30
125,-30
126,-30
127,-30
128,-30
129,-30
130,-30
131,-30
132,-30
133,-30
134,-30
135,-30
136,-30
137,-30
138,-30
139,-30
140,-30
141,-30
142,-30
143,-30
144,-30
145,-30
146,-30
147,-30
148,-30
149,-30
150,-30
151,-30
152,-30
153,-30
154,-30
155,-30
156,-30
157,-30
158,-30
159,-30
160,-30
161,-30
162,-30
163,-30
164,-30
165,-30
166,-30
167,-30
168,-30
169,-30
170,-30
171,-30
172,-30
173,-30
174,-30
175,-30
176,-30
177,-30
178,-30
179,-30
180,-30
